target_id,history_mode,model,mae,rmse,direction,shock_mae,n,n_train_first,first_train_month
SCRAP,MATCHED,M0,50.539865,77.836036,0.5,118.096368,50,86,2014-09
SCRAP,MATCHED,M1,49.449929,77.566566,0.66,119.293948,50,86,2014-09
SCRAP,MATCHED,M2,51.037073,80.664746,0.62,125.965019,50,86,2014-09
SCRAP,MAXIMUM,M0,45.575019,69.457546,0.6,113.569423,50,126,2009-12
SCRAP,MAXIMUM,M1,49.240104,76.137878,0.62,126.099156,50,126,2009-12
SCRAP,MAXIMUM,M2,50.305998,75.778981,0.56,124.493449,50,126,2009-12
IRON_ORE,MATCHED,M0,5.243222,6.802823,0.56,9.539257,50,86,2014-09
IRON_ORE,MATCHED,M1,5.060178,6.62439,0.58,10.879649,50,86,2014-09
IRON_ORE,MATCHED,M2,4.99161,6.533847,0.58,10.813176,50,86,2014-09
IRON_ORE,MAXIMUM,M0,4.58127,6.486896,0.62,12.716993,50,115,2011-05
IRON_ORE,MAXIMUM,M1,5.459389,7.11122,0.48,13.44888,50,115,2011-05
IRON_ORE,MAXIMUM,M2,5.463641,7.118483,0.5,13.453928,50,115,2011-05
COPPER_SCRAP,MATCHED,M0,44.784139,58.003698,0.4,96.876496,50,86,2014-09
COPPER_SCRAP,MATCHED,M1,35.09513,44.549911,0.6,63.016346,50,86,2014-09
COPPER_SCRAP,MATCHED,M2,38.465801,48.014089,0.58,70.538066,50,86,2014-09
COPPER_SCRAP,MAXIMUM,M0,44.768561,57.969459,0.4,96.798606,50,86,2014-09
COPPER_SCRAP,MAXIMUM,M1,34.385172,44.144157,0.6,59.466555,50,86,2014-09
COPPER_SCRAP,MAXIMUM,M2,38.580846,48.166301,0.58,71.11329,50,86,2014-09
CRUDE_OIL,MATCHED,M0,24.701686,32.833238,0.54,52.944577,50,86,2014-09
CRUDE_OIL,MATCHED,M1,26.660022,33.91567,0.52,55.321124,50,86,2014-09
CRUDE_OIL,MATCHED,M2,26.035763,33.307282,0.52,54.701966,50,86,2014-09
CRUDE_OIL,MAXIMUM,M0,22.308616,29.015671,0.5,48.433651,50,144,2009-11
CRUDE_OIL,MAXIMUM,M1,21.593477,28.399389,0.52,48.548569,50,144,2009-11
CRUDE_OIL,MAXIMUM,M2,22.072834,27.346579,0.5,45.738328,50,144,2009-11
