dimension,value,records
family,FR_ITA_NOTICE,8134
family,FR_ITC_NOTICE,2333
family,FR_USTR,285
family,FR_OFAC,209
family,FR_BIS,202
family,FR_PRESDOC_EXECUTIVE_ORDER,73
family,FR_PRESDOC_PROCLAMATION,57
channel,A_TRADE_POLICY,11023
channel,B_GEO_SUPPLY,270
category,TRADE_REMEDY_ADCVD,10467
category,TRADE_TARIFF_SANCTION,556
category,GEOPOLITICAL_CONFLICT,270
stage,FINAL,4007
stage,CONTINUATION,3145
stage,PRELIMINARY,2572
stage,INITIATION,1286
stage,TERMINATION,215
stage,IMPLEMENTATION,68
direction,NEUTRAL,5580
direction,UP,4768
direction,DOWN,945
surprise,PERSISTENT,6396
surprise,NEW,3124
surprise,ESCALATION,1632
surprise,DE_ESCALATION,141
chain,<none>,6731
chain,STEEL_CHAIN,4369
chain,COPPER_CHAIN,174
chain,PETROLEUM_CHAIN,20
