base,new,mae_base,mae_new,rel_improvement_pct,mean_d,p_value,ci_low,ci_high,inference
V9_M0_LH,V10_M2_MAX,45.570517,50.305998,-10.3915,-4.735481,0.00145,-7.269289,-1.284868,MBB_OK
V9_M0_LH,V10_M1_MAX,45.570517,49.240104,-8.0525,-3.669587,0.05875,-7.044666,0.132833,MBB_OK
V10_M1_MAX,V10_M2_MAX,49.240104,50.305998,-2.1647,-1.065894,0.37695,-3.497107,1.002886,MBB_OK
V10_M0_MAX,V10_M1_MAX,45.575019,49.240104,-8.0419,-3.665085,0.05935,-7.041758,0.136869,MBB_OK
V10_M0_MAX,V10_M2_MAX,45.575019,50.305998,-10.3806,-4.730979,0.00145,-7.268504,-1.283744,MBB_OK
V10_M2_LEGACYWIN_MAX,V10_M2_MAX,50.304037,50.305998,-0.0039,-0.001961,0.9982,-1.10619,1.184153,MBB_OK
V10_M1_MATCH,V10_M2_MATCH,49.449929,51.037073,-3.2096,-1.587144,0.2839,-4.50877,1.145445,MBB_OK
V10_M0_MATCH,V10_M1_MATCH,50.539865,49.449929,2.1566,1.089935,0.7191,-1.576222,6.685738,MBB_OK
V10_M0_MATCH,V10_M2_MATCH,50.539865,51.037073,-0.9838,-0.497208,0.88025,-4.436804,5.76547,MBB_OK
V9_M2_LH,V10_M2_MAX,46.977392,50.305998,-7.0855,-3.328605,0.01945,-6.521825,-1.234686,MBB_OK
M2_Gate_v8,V10_M2_MAX,46.759875,50.305998,-7.5837,-3.546123,0.19595,-9.840684,0.168567,MBB_OK
V10_M0_MAX,V9_M0_LH,45.575019,45.570517,0.0099,0.004502,0.2267,-0.004888,0.00674,MBB_OK
