model,mae,rmse,direction,shock_mae,n
M0_MAX,45.575019,69.457546,0.6,113.569423,50
M1_MAX,49.240104,76.137878,0.62,126.099156,50
M2_MAX,50.305998,75.778981,0.56,124.493449,50
M2_LEGACYWIN_MAX,50.304037,76.755809,0.6,127.164644,50
M0_MATCH,50.539865,77.836036,0.5,118.096368,50
M1_MATCH,49.449929,77.566566,0.66,119.293948,50
M2_MATCH,51.037073,80.664746,0.62,125.965019,50
M2_LEGACYWIN_MATCH,48.980463,76.99093,0.7,121.924378,50
FROZEN_M0,49.189718,,,,50
FROZEN_M1_star,48.825362,,,,50
FROZEN_M2_star,51.039376,,,,50
FROZEN_M2_Gate_v8,46.759875,,,,50
