target_id,history_mode,stage,model,n_months,mae,rmse,direction
COPPER_SCRAP,MATCHED,W0,M0,50,44.784139,58.003698,0.4
COPPER_SCRAP,MATCHED,W0,M1,50,35.09513,44.549911,0.6
COPPER_SCRAP,MATCHED,W0,M2,50,38.465801,48.014089,0.58
COPPER_SCRAP,MATCHED,W1,M0,50,44.784139,58.003698,0.4
COPPER_SCRAP,MATCHED,W1,M1,50,35.09513,44.549911,0.6
COPPER_SCRAP,MATCHED,W1,M2,50,38.465801,48.014089,0.58
COPPER_SCRAP,MATCHED,W2,M0,50,35.614431,48.604893,0.62
COPPER_SCRAP,MATCHED,W2,M1,50,27.720547,34.08639,0.68
COPPER_SCRAP,MATCHED,W2,M2,50,29.597376,37.259369,0.68
COPPER_SCRAP,MATCHED,W3,M0,50,33.732887,46.482562,0.66
COPPER_SCRAP,MATCHED,W3,M1,50,25.497438,31.846961,0.72
COPPER_SCRAP,MATCHED,W3,M2,50,27.266344,35.022075,0.74
COPPER_SCRAP,MATCHED,W4,M0,50,33.074533,45.067819,0.68
COPPER_SCRAP,MATCHED,W4,M1,50,24.816974,31.226329,0.72
COPPER_SCRAP,MATCHED,W4,M2,50,28.583424,37.807046,0.72
COPPER_SCRAP,MAXIMUM,W0,M0,50,44.768561,57.969459,0.4
COPPER_SCRAP,MAXIMUM,W0,M1,50,34.385172,44.144157,0.6
COPPER_SCRAP,MAXIMUM,W0,M2,50,38.580846,48.166301,0.58
COPPER_SCRAP,MAXIMUM,W1,M0,50,44.768561,57.969459,0.4
COPPER_SCRAP,MAXIMUM,W1,M1,50,34.385172,44.144157,0.6
COPPER_SCRAP,MAXIMUM,W1,M2,50,38.580846,48.166301,0.58
COPPER_SCRAP,MAXIMUM,W2,M0,50,35.507573,48.562102,0.62
COPPER_SCRAP,MAXIMUM,W2,M1,50,26.930198,33.585078,0.68
COPPER_SCRAP,MAXIMUM,W2,M2,50,29.562626,37.390319,0.7
COPPER_SCRAP,MAXIMUM,W3,M0,50,33.674352,46.425866,0.66
COPPER_SCRAP,MAXIMUM,W3,M1,50,24.706319,31.362038,0.72
COPPER_SCRAP,MAXIMUM,W3,M2,50,27.072551,34.992233,0.76
COPPER_SCRAP,MAXIMUM,W4,M0,50,33.021716,45.02391,0.68
