target_id,history_mode,model,n_months,mae_W0,mae_W4,w0_to_w4_mae_change,event_incremental_skill_pct,mean_abs_revision_w0_w4,months_revised,beneficial_revision_rate,harmful_revision_rate,weekly_rescue_rate,false_weekly_override_rate,first_correct_direction_stage_mean,months_never_correct_direction
COPPER_SCRAP,MATCHED,M0,50,44.784139,33.074533,-11.709606,,31.117971,47,0.6383,0.3617,0.6,0.2,1.079,12
COPPER_SCRAP,MATCHED,M1,50,35.09513,24.816974,-10.278156,,29.056714,47,0.5957,0.4043,0.65,0.2333,0.674,7
COPPER_SCRAP,MATCHED,M2,50,38.465801,28.583424,-9.882377,,29.086081,47,0.6596,0.3404,0.619,0.2069,0.714,8
COPPER_SCRAP,MATCHED,EVENT_INCREMENT_W0,50,35.09513,38.465801,3.370671,-9.6044,9.531669,50,0.54,0.46,,,,
COPPER_SCRAP,MATCHED,EVENT_INCREMENT_W1,50,35.09513,38.465801,3.370671,-9.6044,9.531669,50,0.54,0.46,,,,
COPPER_SCRAP,MATCHED,EVENT_INCREMENT_W2,50,27.720547,29.597376,1.876829,-6.7705,6.747349,50,0.52,0.48,,,,
COPPER_SCRAP,MATCHED,EVENT_INCREMENT_W3,50,25.497438,27.266344,1.768906,-6.9376,5.949371,50,0.5,0.5,,,,
COPPER_SCRAP,MATCHED,EVENT_INCREMENT_W4,50,24.816974,28.583424,3.76645,-15.1769,7.878773,50,0.48,0.52,,,,
COPPER_SCRAP,MAXIMUM,M0,50,44.768561,33.021716,-11.746845,,31.036767,47,0.6383,0.3617,0.6,0.2,1.079,12
COPPER_SCRAP,MAXIMUM,M1,50,34.385172,24.742237,-9.642935,,28.623119,47,0.5745,0.4255,0.65,0.2333,0.674,7
COPPER_SCRAP,MAXIMUM,M2,50,38.580846,27.651948,-10.928898,,28.16492,47,0.6809,0.3191,0.619,0.1724,0.714,8
COPPER_SCRAP,MAXIMUM,EVENT_INCREMENT_W0,50,34.385172,38.580846,4.195674,-12.202,11.409695,50,0.54,0.46,,,,
