target_id,history_mode,stage,n_months,months_with_new_target_release,months_with_new_x_release,months_with_new_material_event,m0_mae_improvement_vs_prev_stage,mean_L
SCRAP,MATCHED,W0,50,0,0,0,,2.08
SCRAP,MATCHED,W1,50,0,0,1,0.0,2.08
SCRAP,MATCHED,W2,50,36,36,5,17.641491,1.36
SCRAP,MATCHED,W3,50,10,10,1,5.119196,1.16
SCRAP,MATCHED,W4,50,1,1,5,-0.132705,1.14
SCRAP,MAXIMUM,W0,50,0,0,0,,2.08
SCRAP,MAXIMUM,W1,50,0,0,1,0.0,2.08
SCRAP,MAXIMUM,W2,50,36,36,5,15.093649,1.36
SCRAP,MAXIMUM,W3,50,10,10,1,5.382313,1.16
SCRAP,MAXIMUM,W4,50,1,1,5,-0.162289,1.14
IRON_ORE,MATCHED,W0,50,0,0,0,,2.08
IRON_ORE,MATCHED,W1,50,0,0,1,0.0,2.08
IRON_ORE,MATCHED,W2,50,36,36,5,0.744401,1.36
IRON_ORE,MATCHED,W3,50,10,10,1,0.192947,1.16
IRON_ORE,MATCHED,W4,50,1,1,5,0.107383,1.14
IRON_ORE,MAXIMUM,W0,50,0,0,0,,2.08
IRON_ORE,MAXIMUM,W1,50,0,0,1,0.0,2.08
IRON_ORE,MAXIMUM,W2,50,36,36,5,0.678097,1.36
IRON_ORE,MAXIMUM,W3,50,10,10,1,0.203537,1.16
IRON_ORE,MAXIMUM,W4,50,1,1,5,0.107383,1.14
CRUDE_OIL,MATCHED,W0,50,0,0,0,,2.08
CRUDE_OIL,MATCHED,W1,50,0,0,0,0.0,2.08
CRUDE_OIL,MATCHED,W2,50,36,36,0,2.840803,1.36
CRUDE_OIL,MATCHED,W3,50,10,10,0,1.667714,1.16
CRUDE_OIL,MATCHED,W4,50,1,1,0,0.046838,1.14
CRUDE_OIL,MAXIMUM,W0,50,0,0,0,,2.08
CRUDE_OIL,MAXIMUM,W1,50,0,0,0,0.0,2.08
CRUDE_OIL,MAXIMUM,W2,50,36,36,0,2.441164,1.36
CRUDE_OIL,MAXIMUM,W3,50,10,10,0,1.569788,1.16
CRUDE_OIL,MAXIMUM,W4,50,1,1,0,0.053243,1.14
