target_id,history_mode,stage,model,n_months,mae,rmse,direction,large_move_mae,market_skill_pct,event_skill_pct,market_p,event_p,event_moved_months,event_beneficial_rate,event_harmful_rate
SCRAP,MATCHED,W0,M0,50,48.811158,74.295395,0.56,120.559275,,,,,,,
SCRAP,MATCHED,W0,M1,50,47.251382,73.435168,0.58,118.135869,,,,,,,
SCRAP,MATCHED,W0,M2,50,49.399621,75.669183,0.58,123.042514,,,,,,,
SCRAP,MATCHED,W1,M0,50,48.811158,74.295395,0.56,120.559275,,,,,,,
SCRAP,MATCHED,W1,M1,50,47.251382,73.435168,0.58,118.135869,,,,,,,
SCRAP,MATCHED,W1,M2,50,49.399621,75.669183,0.58,123.042514,,,,,,,
SCRAP,MATCHED,W2,M0,50,31.169667,50.30182,0.76,70.877853,,,,,,,
SCRAP,MATCHED,W2,M1,50,29.056331,48.890762,0.76,63.990223,,,,,,,
SCRAP,MATCHED,W2,M2,50,30.454531,50.205288,0.76,67.580205,,,,,,,
SCRAP,MATCHED,W3,M0,50,26.050471,41.198209,0.8,61.892613,,,,,,,
SCRAP,MATCHED,W3,M1,50,25.715553,43.200133,0.82,59.659627,,,,,,,
SCRAP,MATCHED,W3,M2,50,26.028254,43.485004,0.82,60.671357,,,,,,,
SCRAP,MATCHED,W4,M0,50,26.183175,41.21351,0.8,61.892613,,,,,,,
SCRAP,MATCHED,W4,M1,50,25.793323,43.209085,0.82,59.659627,,,,,,,
SCRAP,MATCHED,W4,M2,50,26.107116,43.489622,0.82,60.671357,,,,,,,
SCRAP,MATCHED,W0,SKILL,50,,,,,3.1955,-4.5464,0.38815,0.28915,33,0.4242,0.5758
SCRAP,MATCHED,W1,SKILL,50,,,,,3.1955,-4.5464,0.38815,0.28915,33,0.4242,0.5758
SCRAP,MATCHED,W2,SKILL,50,,,,,6.7801,-4.812,0.15745,0.01165,33,0.4545,0.5455
SCRAP,MATCHED,W3,SKILL,50,,,,,1.2856,-1.216,0.71215,0.431,35,0.4286,0.5714
SCRAP,MATCHED,W4,SKILL,50,,,,,1.4889,-1.2166,0.66975,0.4302,35,0.4286,0.5714
SCRAP,MAXIMUM,W0,M0,50,45.575019,69.457546,0.6,113.569423,,,,,,,
SCRAP,MAXIMUM,W0,M1,50,49.240104,76.137878,0.62,126.099156,,,,,,,
SCRAP,MAXIMUM,W0,M2,50,49.938745,76.49877,0.6,129.16463,,,,,,,
SCRAP,MAXIMUM,W1,M0,50,45.575019,69.457546,0.6,113.569423,,,,,,,
SCRAP,MAXIMUM,W1,M1,50,49.240104,76.137878,0.62,126.099156,,,,,,,
SCRAP,MAXIMUM,W1,M2,50,49.938745,76.49877,0.6,129.16463,,,,,,,
SCRAP,MAXIMUM,W2,M0,50,30.48137,49.072536,0.76,68.387846,,,,,,,
SCRAP,MAXIMUM,W2,M1,50,31.230705,49.874484,0.76,68.344868,,,,,,,
SCRAP,MAXIMUM,W2,M2,50,31.716855,49.408766,0.74,68.07629,,,,,,,
SCRAP,MAXIMUM,W3,M0,50,25.099057,40.006679,0.82,58.860647,,,,,,,
SCRAP,MAXIMUM,W3,M1,50,27.639134,48.89433,0.8,66.31545,,,,,,,
SCRAP,MAXIMUM,W3,M2,50,27.990503,49.169027,0.82,66.679568,,,,,,,
SCRAP,MAXIMUM,W4,M0,50,25.261346,40.035893,0.82,58.860647,,,,,,,
SCRAP,MAXIMUM,W4,M1,50,27.758573,48.90995,0.8,66.31545,,,,,,,
SCRAP,MAXIMUM,W4,M2,50,28.127845,49.178838,0.82,66.679568,,,,,,,
SCRAP,MAXIMUM,W0,SKILL,50,,,,,-8.0419,-1.4188,0.05935,0.62965,33,0.4545,0.5455
SCRAP,MAXIMUM,W1,SKILL,50,,,,,-8.0419,-1.4188,0.05935,0.62965,33,0.4545,0.5455
SCRAP,MAXIMUM,W2,SKILL,50,,,,,-2.4583,-1.5566,0.3618,0.2914,33,0.5455,0.4545
SCRAP,MAXIMUM,W3,SKILL,50,,,,,-10.1202,-1.2713,0.20445,0.41605,35,0.5429,0.4571
