target_id,history_mode,model,n_months,mae_W0,mae_W1,mae_W2,mae_W3,mae_W4,rolling_skill_W0_pct,rolling_skill_W1_pct,rolling_skill_W2_pct,rolling_skill_W3_pct,rolling_skill_W4_pct,w0_to_w4_change,median_abs_revision_per_stage,monotonic_convergence_rate,harmful_reversal_rate,beneficial_revision_rate,final_stage_dispersion,rescue_rate,false_override_rate,first_correct_direction_stage_mean,months_never_correct_direction,large_move_first_correct_stage_mean,n_large_moves,large_move_threshold
SCRAP,MATCHED,M0,50,48.811158,48.811158,31.169667,26.050471,26.183175,0.0,0.0,36.1423,46.6301,46.3582,-22.627983,"[0.0, 10.3249, 0.0, 0.0]",0.75,0.34,0.6,31.8276,0.6818,0.1071,0.767,7,1.222,10,73.4138
SCRAP,MATCHED,M1,50,47.251382,47.251382,29.056331,25.715553,25.793323,0.0,0.0,38.5069,45.5771,45.4126,-21.45806,"[0.0, 13.1859, 0.0, 0.0]",0.75,0.34,0.6,34.666,0.6667,0.069,0.721,7,1.222,10,73.4138
SCRAP,MATCHED,M2,50,49.399621,49.399621,30.454531,26.028254,26.107116,0.0,0.0,38.3507,47.3108,47.1512,-23.292505,"[0.0, 12.9453, 0.0, 0.0]",0.75,0.34,0.6,34.7817,0.7143,0.1034,0.773,6,1.222,10,73.4138
SCRAP,MAXIMUM,M0,50,45.575019,45.575019,30.48137,25.099057,25.261346,0.0,0.0,33.1183,44.928,44.5719,-20.313673,"[0.0, 10.5358, 0.0, 0.0]",0.75,0.34,0.6,31.0602,0.65,0.0667,0.674,7,1.0,10,73.4138
SCRAP,MAXIMUM,M1,50,49.240104,49.240104,31.230705,27.639134,27.758573,0.0,0.0,36.5747,43.8687,43.6261,-21.481531,"[0.0, 14.1899, 0.0, 0.0]",0.75,0.34,0.6,40.2697,0.6842,0.129,0.659,6,1.0,10,73.4138
SCRAP,MAXIMUM,M2,50,49.938745,49.938745,31.716855,27.990503,28.127845,0.0,0.0,36.4885,43.9503,43.6753,-21.810899,"[0.0, 17.306, 0.0, 0.0]",0.75,0.32,0.62,40.3408,0.75,0.1333,0.778,5,1.222,10,73.4138
IRON_ORE,MATCHED,M0,50,4.58127,4.58127,3.836869,3.643923,3.53654,0.0,0.0,16.2488,20.4604,22.8044,-1.044731,"[0.0, 0.4629, 0.0, 0.0]",1.0,0.44,0.5,4.2038,0.6316,0.1613,0.581,7,0.444,10,7.043
IRON_ORE,MATCHED,M1,50,5.459389,5.459389,3.996307,3.596779,3.490248,0.0,0.0,26.7994,34.1175,36.0689,-1.969141,"[0.0, 0.6743, 0.0, 0.0]",1.0,0.3,0.64,4.1621,0.6538,0.1667,0.878,9,0.5,10,7.043
IRON_ORE,MATCHED,M2,50,5.449327,5.449327,4.02308,3.646523,3.535823,0.0,0.0,26.1729,33.0831,35.1145,-1.913504,"[0.0, 0.7647, 0.0, 0.0]",1.0,0.3,0.64,4.1206,0.625,0.1538,0.756,9,0.5,10,7.043
IRON_ORE,MAXIMUM,M0,50,4.58127,4.58127,3.903173,3.699637,3.592253,0.0,0.0,14.8015,19.2443,21.5883,-0.989017,"[0.0, 0.4593, 0.0, 0.0]",1.0,0.42,0.52,4.414,0.5789,0.1613,0.548,8,0.444,10,7.043
IRON_ORE,MAXIMUM,M1,50,5.459389,5.459389,4.002372,3.603265,3.496734,0.0,0.0,26.6883,33.9987,35.9501,-1.962655,"[0.0, 0.666, 0.0, 0.0]",1.0,0.3,0.64,4.2016,0.6154,0.1667,0.85,10,0.5,10,7.043
IRON_ORE,MAXIMUM,M2,50,5.449327,5.449327,3.9949,3.592286,3.481586,0.0,0.0,26.69,34.0784,36.1098,-1.967741,"[0.0, 0.7003, 0.0, 0.0]",1.0,0.3,0.64,4.2336,0.5833,0.1538,0.725,10,0.5,10,7.043
CRUDE_OIL,MATCHED,M0,50,22.343246,22.343246,19.502442,17.834728,17.78789,0.0,0.0,12.7144,20.1784,20.3881,-4.555355,"[0.0, 6.3238, 0.0, 0.0]",1.0,0.38,0.56,11.8381,0.5833,0.1154,0.725,10,0.667,10,34.4588
CRUDE_OIL,MATCHED,M1,50,22.331614,22.331614,19.542663,17.849808,17.81052,0.0,0.0,12.4888,20.0693,20.2453,-4.521094,"[0.0, 6.9896, 0.0, 0.0]",1.0,0.38,0.56,11.8331,0.6087,0.1481,0.707,9,0.667,10,34.4588
CRUDE_OIL,MATCHED,M2,50,22.331614,22.331614,19.542663,17.849808,17.81052,0.0,0.0,12.4888,20.0693,20.2453,-4.521094,"[0.0, 6.9896, 0.0, 0.0]",1.0,0.38,0.56,11.8331,0.6087,0.1481,0.707,9,0.667,10,34.4588
CRUDE_OIL,MAXIMUM,M0,50,22.308616,22.308616,19.867452,18.297664,18.24442,0.0,0.0,10.9427,17.9794,18.2181,-4.064195,"[0.0, 7.2074, 0.0, 0.0]",1.0,0.38,0.56,11.8951,0.56,0.08,0.744,11,0.667,10,34.4588
CRUDE_OIL,MAXIMUM,M1,50,21.593477,21.593477,19.767416,18.242063,18.190506,0.0,0.0,8.4565,15.5205,15.7593,-3.402971,"[0.0, 7.7255, 0.0, 0.0]",1.0,0.4,0.54,11.8588,0.5417,0.1154,0.692,11,0.667,10,34.4588
CRUDE_OIL,MAXIMUM,M2,50,21.593477,21.593477,19.767416,18.242063,18.190506,0.0,0.0,8.4565,15.5205,15.7593,-3.402971,"[0.0, 7.7255, 0.0, 0.0]",1.0,0.4,0.54,11.8588,0.5417,0.1154,0.692,11,0.667,10,34.4588
