origin_date,stage,view,selected_family,inner_cv_mae
2021-11-30,M0,CONTROLLED_RIDGE,ridge,54.8083
2021-11-30,M1,CONTROLLED_RIDGE,ridge,64.239123
2021-11-30,M2_V2,CONTROLLED_RIDGE,ridge,64.222582
2021-11-30,M2_V3,CONTROLLED_RIDGE,ridge,63.576814
2021-11-30,M0,BEST_CV_MULTIMODEL,ridge,54.8083
2021-11-30,M1,BEST_CV_MULTIMODEL,ridge,64.239123
2021-11-30,M2_V3,BEST_CV_MULTIMODEL,ridge,63.576814
2021-12-31,M0,CONTROLLED_RIDGE,ridge,58.938021
2021-12-31,M1,CONTROLLED_RIDGE,ridge,69.974011
2021-12-31,M2_V2,CONTROLLED_RIDGE,ridge,69.964708
2021-12-31,M2_V3,CONTROLLED_RIDGE,ridge,69.330029
2021-12-31,M0,BEST_CV_MULTIMODEL,ridge,58.938021
2021-12-31,M1,BEST_CV_MULTIMODEL,elasticnet,69.738482
2021-12-31,M2_V3,BEST_CV_MULTIMODEL,ridge,69.330029
2022-01-31,M0,CONTROLLED_RIDGE,ridge,61.112455
2022-01-31,M1,CONTROLLED_RIDGE,ridge,65.603809
2022-01-31,M2_V2,CONTROLLED_RIDGE,ridge,65.585979
2022-01-31,M2_V3,CONTROLLED_RIDGE,ridge,64.979845
2022-01-31,M0,BEST_CV_MULTIMODEL,ridge,61.112455
2022-01-31,M1,BEST_CV_MULTIMODEL,ridge,65.603809
2022-01-31,M2_V3,BEST_CV_MULTIMODEL,ridge,64.979845
2022-02-28,M0,CONTROLLED_RIDGE,ridge,60.029185
2022-02-28,M1,CONTROLLED_RIDGE,ridge,61.044508
2022-02-28,M2_V2,CONTROLLED_RIDGE,ridge,61.01665
2022-02-28,M2_V3,CONTROLLED_RIDGE,ridge,60.848171
2022-02-28,M0,BEST_CV_MULTIMODEL,ridge,60.029185
2022-02-28,M1,BEST_CV_MULTIMODEL,ridge,61.044508
2022-02-28,M2_V3,BEST_CV_MULTIMODEL,ridge,60.848171
2022-03-31,M0,CONTROLLED_RIDGE,ridge,53.829921
2022-03-31,M1,CONTROLLED_RIDGE,ridge,65.101682
2022-03-31,M2_V2,CONTROLLED_RIDGE,ridge,65.021142
2022-03-31,M2_V3,CONTROLLED_RIDGE,ridge,65.236836
2022-03-31,M0,BEST_CV_MULTIMODEL,ridge,53.829921
2022-03-31,M1,BEST_CV_MULTIMODEL,ridge,65.101682
2022-03-31,M2_V3,BEST_CV_MULTIMODEL,ridge,65.236836
2022-04-30,M0,CONTROLLED_RIDGE,ridge,57.117112
2022-04-30,M1,CONTROLLED_RIDGE,ridge,69.24522
2022-04-30,M2_V2,CONTROLLED_RIDGE,ridge,69.22546
