origin_date,target_month,y_true,M1R,M2R,event_correction,abs_event_correction,abs_error_before,abs_error_after,correction_sign_matches_residual,event_feature_family,event_model,event_coefficients,PEP_V3,NEP_V3,event_pressure_max,event_active
2021-11-30,2021-12,739.064,694.701547,701.908249,7.206701,7.206701,44.362453,37.155751,True,E0,huber,"{""NEP_V3"": -285.908472, ""PEP_V3"": 107.965488}",0.477356,0.346047,0.477356,False
2021-12-31,2022-01,689.363,798.383444,800.408987,2.025544,2.025544,109.020444,111.045987,False,E0,huber,"{""NEP_V3"": -242.791628, ""PEP_V3"": 63.095957}",0.470724,0.340052,0.470724,False
2022-01-31,2022-02,687.35,764.8421,771.63949,6.797389,6.797389,77.4921,84.28949,False,E0,huber,"{""NEP_V3"": -241.573523, ""PEP_V3"": 53.614992}",0.464881,0.334713,0.464881,False
2022-02-28,2022-03,858.642,648.940601,654.610496,5.669895,5.669895,209.701399,204.031504,True,E2,ols,"{""NEP_V3"": -454.47705, ""NEP_V3_lag1"": 125.602012, ""PEP_V3"": 150.222941, ""PEP_V3_lag1"": 93.91498}",0.939971,0.538416,0.939971,True
2022-03-31,2022-04,859.242,644.821258,666.237996,21.416738,21.416738,214.420742,193.004004,True,E0,ridge,"{""NEP_V3"": -0.008959, ""PEP_V3"": -0.005291}",0.996568,0.652471,0.996568,True
2022-04-30,2022-05,756.577,794.777277,824.124812,29.347535,29.347535,38.200277,67.547812,False,E1,ridge,"{""NEP_V3"": -0.007392, ""PEP_V3"": 0.000355, ""dNEP_V3"": 0.00083, ""dPEP_V3"": 0.009769}",0.99144,0.634568,0.99144,True
2022-05-31,2022-06,679.742,806.53285,893.863872,87.331022,87.331022,126.79085,214.121872,False,E0,huber,"{""NEP_V3"": -404.169325, ""PEP_V3"": 343.473976}",0.977606,0.592537,0.977606,True
2022-06-30,2022-07,593.864,828.382872,859.820324,31.437452,31.437452,234.518872,265.956324,False,E1,ridge,"{""NEP_V3"": -0.00485, ""PEP_V3"": 0.005089, ""dNEP_V3"": 0.003208, ""dPEP_V3"": 0.011344}",0.957998,0.555306,0.957998,True
2022-07-31,2022-08,546.383,737.274321,756.750347,19.476026,19.476026,190.891321,210.367347,False,E1,ridge,"{""NEP_V3"": -0.007949, ""PEP_V3"": 0.003195, ""dNEP_V3"": 0.006324, ""dPEP_V3"": 0.014979}",0.935231,0.524797,0.935231,True
2022-08-31,2022-09,527.719,558.75314,578.569719,19.81658,19.81658,31.03414,50.850719,False,E1,ols,"{""NEP_V3"": -258.190033, ""PEP_V3"": 123.797576, ""dNEP_V3"": 292.45457, ""dPEP_V3"": 62.042508}",0.911365,0.500279,0.911365,True
