origin_date,target_month,y_true,M0,M1_star,ME_star,M2_star,event_impact_M2,abs_event_impact_M2,lambda_E_M2,lambda_E_ME,event_used_M2,m2_family,m2_variant,direction_correct_M2,abs_error_before,abs_error_after,PEP,NEP
2021-11-30,2021-12,739.064,674.3556182241166,718.5849759593248,641.895590925952,718.5849759593248,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,20.479024,20.479024,0.477356,0.346047
2021-12-31,2022-01,689.363,728.354782475954,770.64013551531,667.5096894927184,770.64013551531,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,81.277136,81.277136,0.470724,0.340052
2022-01-31,2022-02,687.35,689.4552561018413,735.0162594793712,647.5323781692688,735.0162594793712,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,47.666259,47.666259,0.464881,0.334713
2022-02-28,2022-03,858.642,622.06762682482,618.9669968709492,576.147723407089,618.9669968709492,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,239.675003,239.675003,0.939971,0.538416
2022-03-31,2022-04,859.242,622.7075828999775,598.190942562266,562.6977618511166,598.190942562266,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,261.051057,261.051057,0.996568,0.652471
2022-04-30,2022-05,756.577,764.2408838668797,693.0527950703772,764.2408838668797,693.0527950703772,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,63.524205,63.524205,0.99144,0.634568
2022-05-31,2022-06,679.742,772.0663085996614,772.0663085996614,772.0663085996614,772.0663085996614,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,92.324309,92.324309,0.977606,0.592537
2022-06-30,2022-07,593.864,798.1004921404948,798.1004921404948,798.1004921404948,798.1004921404948,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,204.236492,204.236492,0.957998,0.555306
2022-07-31,2022-08,546.383,729.0954743069126,729.0954743069126,729.0954743069126,729.0954743069126,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,182.712474,182.712474,0.935231,0.524797
2022-08-31,2022-09,527.719,598.24972599886,613.9252375201224,598.24972599886,653.9262238027927,40.000986,40.000986,1.0,0.0,True,E3,NOVEL,False,86.206238,126.207224,0.911365,0.500279
2022-09-30,2022-10,510.006,529.600910858446,548.1453062728647,529.600910858446,606.6042300546546,58.458924,58.458924,1.0,0.0,True,E3,NOVEL,False,38.139306,96.59823,0.886142,0.478364
2022-10-31,2022-11,493.08,462.40351071412624,492.30266836558945,481.5006477166198,492.30266836558945,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,0.777332,0.777332,0.860421,0.458837
2022-11-30,2022-12,517.66,441.45825938816154,457.2740561069817,461.0285400641588,457.2740561069817,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,60.385944,60.385944,0.834885,0.441479
2022-12-31,2023-01,570.52,449.84250229533075,486.2287851959919,464.86116023278305,486.2287851959919,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,84.291215,84.291215,0.810052,0.426081
2023-01-31,2023-02,606.166,500.3436687522289,519.5391338896352,501.18258580495547,519.5391338896352,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,86.626866,86.626866,0.786291,0.412442
2023-02-28,2023-03,664.4,545.4428049099829,541.0646350547897,540.855153519959,541.0646350547897,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,123.335365,123.335365,0.763851,0.400378
2023-03-31,2023-04,651.118,580.0867672719105,580.0867672719105,615.7022829022324,580.0867672719105,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,71.031233,71.031233,0.742878,0.389716
2023-04-30,2023-05,617.717,615.5661679865751,615.5661679865751,664.7712497061633,692.5102764472438,76.944108,76.944108,1.0,1.0,True,E3,NOVEL,True,2.150832,74.793276,0.723446,0.380301
2023-05-31,2023-06,557.441,586.5917756868297,574.8739177814914,586.5917756868297,574.8739177814914,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,17.432918,17.432918,0.705567,0.657338
2023-06-30,2023-07,539.555,566.2562128409079,566.2562128409079,566.2562128409079,566.2562128409079,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,26.701213,26.701213,0.643792,0.271806
2023-07-31,2023-08,543.896,513.9713118262421,513.9713118262421,513.9713118262421,513.9713118262421,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,29.924688,29.924688,0.627081,0.265086
2023-08-31,2023-09,547.501,507.7063527919366,515.6167722174135,507.7063527919366,515.6167722174135,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,31.884228,31.884228,0.611953,0.259176
2023-09-30,2023-10,534.762,539.5644810873281,533.3899470211468,539.5644810873281,533.3899470211468,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,1.372053,1.372053,0.598302,0.253978
2023-10-31,2023-11,554.973,537.1737739509548,536.9573339216988,584.2051725801628,536.9573339216988,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,18.015666,18.015666,0.588387,0.250975
2023-11-30,2023-12,608.785,526.4682230765411,533.1700107707993,526.4682230765411,533.1700107707993,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,75.614989,75.614989,0.58169,0.249976
2023-12-31,2024-01,620.161,576.2129956347977,574.5181006797493,576.3079515586167,574.5181006797493,0.0,0.0,0.0,0.75,False,NO_EVENT,,False,45.642899,45.642899,0.896302,0.249136
2024-01-31,2024-02,603.853,612.772460624555,603.949976055698,617.6897707022285,603.949976055698,0.0,0.0,0.0,0.75,False,NO_EVENT,,False,0.096976,0.096976,0.904699,0.248429
2024-02-29,2024-03,556.234,595.8318045613913,605.8145757907126,607.4962451164397,568.4578823867629,-37.356693,37.356693,0.75,0.75,True,E3,NOVEL,True,49.580576,12.223882,0.858105,0.247835
2024-03-31,2024-04,543.767,578.6393140018804,585.0419639089456,578.6393140018804,561.9970246217238,-23.044939,23.044939,0.5,0.0,True,E3,NOVEL,True,41.274964,18.230025,0.941783,0.485928
2024-04-30,2024-05,541.476,528.5721288399247,540.6681667341127,528.5721288399247,540.6681667341127,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,0.807833,0.807833,0.974931,0.61149
2024-05-31,2024-06,521.206,538.8240728315293,526.9103896994861,538.8240728315293,526.9103896994861,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,5.70439,5.70439,0.946971,0.646513
2024-06-30,2024-07,522.499,518.671079416464,522.971734811296,518.671079416464,522.971734811296,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,0.472735,0.472735,0.913635,0.592854
2024-07-31,2024-08,520.709,512.3107831523746,512.3107831523746,512.3107831523746,512.3107831523746,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,8.398217,8.398217,0.860977,0.507264
2024-08-31,2024-09,516.389,538.7265397550452,538.7265397550452,538.7265397550452,538.7265397550452,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,22.33754,22.33754,0.819544,0.4649
2024-09-30,2024-10,526.359,532.1402514658157,532.1402514658157,532.1402514658157,532.1402514658157,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,5.781251,5.781251,0.854231,0.566797
2024-10-31,2024-11,527.912,522.0880981194458,522.0880981194458,522.0880981194458,522.0880981194458,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,5.823902,5.823902,0.81735,0.527128
2024-11-30,2024-12,514.749,548.5081152197457,548.5081152197457,548.5081152197457,548.5081152197457,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,33.759115,33.759115,0.78177,0.49131
2024-12-31,2025-01,530.866,534.4475397130841,534.4475397130841,534.4475397130841,534.4475397130841,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,3.58154,3.58154,0.714453,0.459097
2025-01-31,2025-02,574.367,512.9147146667488,512.9147146667488,512.9147146667488,512.9147146667488,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,61.452285,61.452285,0.682182,0.430217
2025-02-28,2025-03,607.858,540.7732795327028,540.7732795327028,540.7732795327028,540.7732795327028,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,67.08472,67.08472,1.0,0.548601
2025-03-31,2025-04,567.259,579.0396694618523,579.0396694618523,579.0396694618523,579.0396694618523,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,11.780669,11.780669,0.926544,0.477268
2025-04-30,2025-05,538.243,570.5277341292148,570.5277341292148,570.5277341292148,570.5277341292148,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,32.284734,32.284734,0.864541,0.613278
2025-05-31,2025-06,530.948,545.6910020024312,545.6910020024312,545.6910020024312,545.6910020024312,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,14.743002,14.743002,1.0,0.556997
2025-06-30,2025-07,530.174,515.0302224265597,526.9907331695476,510.9241420643504,526.9907331695476,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,3.183267,3.183267,1.0,0.509665
2025-07-31,2025-08,530.965,509.9895839941706,538.4034967157222,508.3466877894338,538.4034967157222,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,7.438497,7.438497,0.958908,0.469861
2025-08-31,2025-09,527.241,524.7897145124441,524.7897145124441,524.7897145124441,524.7897145124441,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,2.451285,2.451285,0.913247,0.436387
2025-09-30,2025-10,517.244,528.5636959083419,528.5636959083419,528.5636959083419,528.5636959083419,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,11.319696,11.319696,0.866969,0.408237
2025-10-31,2025-11,519.92,528.4317143235214,510.0057747364107,528.4317143235214,510.0057747364107,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,9.914225,9.914225,0.822461,0.384564
2025-11-30,2025-12,532.289,527.9552397425937,536.6066109737358,527.9552397425937,536.6066109737358,0.0,0.0,0.0,0.0,False,NO_EVENT,,False,4.317611,4.317611,0.781064,0.364657
2025-12-31,2026-01,573.649,517.5973294262836,528.4488913237107,536.0961759597212,528.4488913237107,0.0,0.0,0.0,1.0,False,NO_EVENT,,False,45.200109,45.200109,0.743436,0.347917
