view,model,n_origins,mae,rmse,smape,directional_accuracy,status
OFFICIAL_REFERENCE,N0,50,50.31882,69.396581,8.05293,0.0,OFFICIAL_PREREGISTERED
OFFICIAL_REFERENCE,M0,50,49.189718,76.199841,8.092307,0.54,OFFICIAL_PREREGISTERED
OFFICIAL_REFERENCE,M1,50,50.748848,80.774459,8.276535,0.6,OFFICIAL_PREREGISTERED
HISTORICAL_DEMO,M2_V2,50,50.717427,80.642216,8.26859,0.6,EXPLORATORY
HISTORICAL_DEMO,M2_V3,50,51.613396,81.491205,8.441541,0.58,EXPLORATORY
HISTORICAL_DEMO,M1R,50,60.989851,84.052789,10.150386,0.5,EXPLORATORY
HISTORICAL_DEMO,M2R,50,67.400211,96.287425,11.283869,0.54,EXPLORATORY
V5_CONTROLLED,M0_ctrl,50,49.189718,76.199841,8.092307,0.54,EXPLORATORY
V5_CONTROLLED,M1_ctrl,50,47.136583,73.830041,7.718681,0.6,EXPLORATORY
V5_CONTROLLED,ME_ctrl,50,50.028482,76.881267,8.319485,0.56,EXPLORATORY
V5_CONTROLLED,M2_ctrl,50,52.161243,77.717362,8.669677,0.58,EXPLORATORY
V5_OPERATIONAL,M0,50,49.189718,76.199841,8.092307,0.54,EXPLORATORY
V5_OPERATIONAL,M1_star,50,48.825362,77.333625,7.847604,0.6,EXPLORATORY
V5_OPERATIONAL,ME_star,50,51.859399,83.026454,8.448763,0.56,EXPLORATORY
V5_OPERATIONAL,M2_star,50,51.039376,79.662683,8.188509,0.56,EXPLORATORY
