origin_date,market_kind,market_label,market_alpha_H,market_alpha_X,market_pls_components,gamma_X,me_family,me_variant,lambda_E_ME,m2_family,m2_variant,m2_alpha_E,lambda_E_M2
2021-11-30,pls,M1-C pls3,10.0,10.0,3,0.75,E2,NOVEL,1.0,NO_EVENT,,,0.0
2021-12-31,pls,M1-C pls3,10.0,10.0,3,0.75,E2,NOVEL,1.0,NO_EVENT,,,0.0
2022-01-31,pls,M1-C pls3,10.0,10.0,3,0.75,E2,NOVEL,1.0,NO_EVENT,,,0.0
2022-02-28,pls,M1-C pls3,100.0,100.0,3,1.0,E2,NOVEL,1.0,NO_EVENT,,,0.0
2022-03-31,pls,M1-C pls3,100.0,10.0,3,0.25,E2,NOVEL,1.0,NO_EVENT,,,0.0
2022-04-30,pls,M1-C pls3,100.0,100.0,3,0.75,NO_EVENT,,0.0,NO_EVENT,,,0.0
2022-05-31,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2022-06-30,m0,M0-fallback,1.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2022-07-31,m0,M0-fallback,1.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2022-08-31,pls,M1-C pls4,10000.0,10.0,4,0.25,NO_EVENT,,0.0,E3,NOVEL,10.0,1.0
2022-09-30,pls,M1-C pls4,10000.0,10.0,4,0.25,NO_EVENT,,0.0,E3,NOVEL,10.0,1.0
2022-10-31,pls,M1-C pls4,1000.0,10.0,4,0.25,E3,NOVEL,1.0,NO_EVENT,,,0.0
2022-11-30,pls,M1-C pls3,10.0,10.0,3,0.75,E3,NOVEL,1.0,NO_EVENT,,,0.0
2022-12-31,pls,M1-C pls4,1000.0,10.0,4,0.25,E3,NOVEL,1.0,NO_EVENT,,,0.0
2023-01-31,pls,M1-C pls4,1000.0,10.0,4,0.25,E3,NOVEL,1.0,NO_EVENT,,,0.0
2023-02-28,pls,M1-C pls3,100.0,10.0,3,0.25,E3,NOVEL,1.0,NO_EVENT,,,0.0
2023-03-31,m0,M0-fallback,10.0,100.0,,0.0,E1,NOVEL,1.0,NO_EVENT,,,0.0
2023-04-30,m0,M0-fallback,10.0,100.0,,0.0,E0,NOVEL,1.0,E3,NOVEL,1.0,1.0
2023-05-31,pls,M1-C pls4,1000.0,100.0,4,0.75,NO_EVENT,,0.0,NO_EVENT,,,0.0
2023-06-30,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2023-07-31,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2023-08-31,combo,M1-D combo w=0.25,10000.0,10.0,,0.5,NO_EVENT,,0.0,NO_EVENT,,,0.0
2023-09-30,pls,M1-C pls4,10000.0,10.0,4,0.25,NO_EVENT,,0.0,NO_EVENT,,,0.0
2023-10-31,pls,M1-C pls4,100.0,10.0,4,0.5,E0,NOVEL,1.0,NO_EVENT,,,0.0
2023-11-30,pls,M1-C pls4,10000.0,10.0,4,0.25,NO_EVENT,,0.0,NO_EVENT,,,0.0
2023-12-31,pls,M1-C pls4,10000.0,10.0,4,0.25,E0,NOVEL,0.75,NO_EVENT,,,0.0
2024-01-31,pls,M1-C pls4,1000.0,10.0,4,0.25,E0,NOVEL,0.75,NO_EVENT,,,0.0
2024-02-29,pls,M1-C pls2,100.0,10.0,2,0.25,E2,NOVEL,0.75,E3,NOVEL,10.0,0.75
2024-03-31,pls,M1-C pls2,100.0,100.0,2,1.0,NO_EVENT,,0.0,E3,NOVEL,1.0,0.5
2024-04-30,block,M1-B block,10.0,10.0,,0.5,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-05-31,pls,M1-C pls4,1000.0,100.0,4,0.75,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-06-30,pls,M1-C pls4,1000.0,100.0,4,1.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-07-31,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-08-31,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-09-30,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-10-31,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-11-30,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2024-12-31,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-01-31,m0,M0-fallback,100.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-02-28,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-03-31,m0,M0-fallback,10.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-04-30,m0,M0-fallback,100.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-05-31,m0,M0-fallback,100.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-06-30,pls,M1-C pls2,100.0,10.0,2,0.25,E0,NOVEL,1.0,NO_EVENT,,,0.0
2025-07-31,pls,M1-C pls2,10000.0,100.0,2,0.5,E0,NOVEL,1.0,NO_EVENT,,,0.0
2025-08-31,m0,M0-fallback,100.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-09-30,m0,M0-fallback,100.0,100.0,,0.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-10-31,pls,M1-C pls4,10000.0,100.0,4,1.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-11-30,pls,M1-C pls4,10000.0,100.0,4,1.0,NO_EVENT,,0.0,NO_EVENT,,,0.0
2025-12-31,pls,M1-C pls4,10000.0,100.0,4,0.5,E1,NOVEL,1.0,NO_EVENT,,,0.0
