role,horizon,base,test,base_cell,test_cell,metric,diff,p_value,ci_low,ci_high,n,is_primary,status
direction,1,M1,M2,D1,D2,accuracy,-0.04,0.4073,-0.16,0.02,50,False,EXPLORATORY_DEMO_V6
direction,1,M1,M2,D1,D2,balanced_accuracy,-0.035714,0.42975,-0.165057,0.022754,50,True,EXPLORATORY_DEMO_V6
direction,1,M0,ME,D0,DE,accuracy,-0.02,0.6398,-0.1,0.08,50,False,EXPLORATORY_DEMO_V6
direction,1,M0,ME,D0,DE,balanced_accuracy,-0.003247,0.9533,-0.08132,0.096618,50,False,EXPLORATORY_DEMO_V6
direction,1,M0,M1,D0,D1,accuracy,0.04,0.47905,-0.04,0.18,50,False,EXPLORATORY_DEMO_V6
direction,1,M0,M1,D0,D1,balanced_accuracy,0.060065,0.26405,-0.005942,0.197282,50,False,EXPLORATORY_DEMO_V6
direction,1,M1,M2*,D1,D2star,accuracy,-0.02,0.60865,-0.12,0.02,50,False,EXPLORATORY_DEMO_V6
direction,1,M1,M2*,D1,D2star,balanced_accuracy,-0.012987,0.76055,-0.115385,0.033333,50,False,EXPLORATORY_DEMO_V6
direction,2,M1,M2,D1,D2,accuracy,-0.020408,0.3968,-0.081633,0.0,49,False,EXPLORATORY_DEMO_V6
direction,2,M1,M2,D1,D2,balanced_accuracy,-0.00448,0.7401,-0.071429,0.013787,49,False,EXPLORATORY_DEMO_V6
direction,2,M0,ME,D0,DE,accuracy,-0.040816,0.41835,-0.163265,0.040816,49,False,EXPLORATORY_DEMO_V6
direction,2,M0,ME,D0,DE,balanced_accuracy,-0.020609,0.7327,-0.164286,0.067204,49,False,EXPLORATORY_DEMO_V6
direction,2,M0,M1,D0,D1,accuracy,-0.020408,0.8547,-0.306122,0.142857,49,False,EXPLORATORY_DEMO_V6
direction,2,M0,M1,D0,D1,balanced_accuracy,0.042115,0.64985,-0.135294,0.204545,49,False,EXPLORATORY_DEMO_V6
direction,2,M1,M2*,D1,D2star,accuracy,-0.020408,0.3968,-0.081633,0.0,49,False,EXPLORATORY_DEMO_V6
direction,2,M1,M2*,D1,D2star,balanced_accuracy,-0.00448,0.7401,-0.071429,0.013787,49,False,EXPLORATORY_DEMO_V6
direction,3,M1,M2,D1,D2,accuracy,0.0,1.0,-0.0625,0.104167,48,False,EXPLORATORY_DEMO_V6
direction,3,M1,M2,D1,D2,balanced_accuracy,0.0,1.0,-0.0625,0.116667,48,False,EXPLORATORY_DEMO_V6
direction,3,M0,ME,D0,DE,accuracy,0.125,0.04505,0.0,0.25,48,False,EXPLORATORY_DEMO_V6
direction,3,M0,ME,D0,DE,balanced_accuracy,0.142857,0.06185,0.009074,0.307623,48,False,EXPLORATORY_DEMO_V6
direction,3,M0,M1,D0,D1,accuracy,-0.020833,0.89655,-0.375,0.229167,48,False,EXPLORATORY_DEMO_V6
direction,3,M0,M1,D0,D1,balanced_accuracy,0.013228,0.92355,-0.25,0.25,48,False,EXPLORATORY_DEMO_V6
direction,3,M1,M2*,D1,D2star,accuracy,0.020833,0.62925,-0.041667,0.125,48,False,EXPLORATORY_DEMO_V6
direction,3,M1,M2*,D1,D2star,balanced_accuracy,0.018519,0.7852,-0.041667,0.133333,48,False,EXPLORATORY_DEMO_V6
large_move,1,M1,M2,D1,D2,accuracy,0.0,1.0,0.0,0.0,50,False,EXPLORATORY_DEMO_V6
large_move,1,M1,M2,D1,D2,pr_auc,-0.034607,0.371737,-0.214286,0.0,50,True,EXPLORATORY_DEMO_V6
large_move,1,M0,ME,D0,DE,accuracy,0.0,1.0,0.0,0.0,50,False,EXPLORATORY_DEMO_V6
large_move,1,M0,ME,D0,DE,pr_auc,-0.04696,0.062156,-0.133955,-0.004941,50,False,EXPLORATORY_DEMO_V6
large_move,1,M0,M1,D0,D1,accuracy,0.0,1.0,0.0,0.0,50,False,EXPLORATORY_DEMO_V6
large_move,1,M0,M1,D0,D1,pr_auc,-0.013869,0.849835,-0.06763,0.208448,50,False,EXPLORATORY_DEMO_V6
large_move,1,M1,M2*,D1,D2star,accuracy,0.0,1.0,0.0,0.0,50,False,EXPLORATORY_DEMO_V6
large_move,1,M1,M2*,D1,D2star,pr_auc,-0.009518,0.024202,-0.010836,0.000813,50,False,EXPLORATORY_DEMO_V6
large_move,2,M1,M2,D1,D2,accuracy,0.0,1.0,0.0,0.0,49,False,EXPLORATORY_DEMO_V6
large_move,2,M1,M2,D1,D2,pr_auc,-0.016274,0.4844,-0.083166,0.013636,49,False,EXPLORATORY_DEMO_V6
large_move,2,M0,ME,D0,DE,accuracy,0.0,1.0,0.0,0.0,49,False,EXPLORATORY_DEMO_V6
large_move,2,M0,ME,D0,DE,pr_auc,-0.017938,0.65825,-0.144452,0.025379,49,False,EXPLORATORY_DEMO_V6
large_move,2,M0,M1,D0,D1,accuracy,0.0,1.0,0.0,0.0,49,False,EXPLORATORY_DEMO_V6
large_move,2,M0,M1,D0,D1,pr_auc,0.087326,0.12495,0.021696,0.270854,49,False,EXPLORATORY_DEMO_V6
large_move,2,M1,M2*,D1,D2star,accuracy,0.0,1.0,0.0,0.0,49,False,EXPLORATORY_DEMO_V6
large_move,2,M1,M2*,D1,D2star,pr_auc,0.002729,0.9233,-0.002342,0.107143,49,False,EXPLORATORY_DEMO_V6
large_move,3,M1,M2,D1,D2,accuracy,0.041667,0.131661,0.0,0.083333,48,False,EXPLORATORY_DEMO_V6
large_move,3,M1,M2,D1,D2,pr_auc,-0.033847,0.886367,-0.608333,0.163344,48,False,EXPLORATORY_DEMO_V6
large_move,3,M0,ME,D0,DE,accuracy,0.020833,0.17318,0.0,0.0625,48,False,EXPLORATORY_DEMO_V6
large_move,3,M0,ME,D0,DE,pr_auc,0.04758,0.848719,-0.352544,0.18959,48,False,EXPLORATORY_DEMO_V6
large_move,3,M0,M1,D0,D1,accuracy,0.0,1.0,0.0,0.0,48,False,EXPLORATORY_DEMO_V6
large_move,3,M0,M1,D0,D1,pr_auc,0.11294,0.317461,-0.184524,0.322285,48,False,EXPLORATORY_DEMO_V6
large_move,3,M1,M2*,D1,D2star,accuracy,0.020833,0.130442,0.0,0.041667,48,False,EXPLORATORY_DEMO_V6
large_move,3,M1,M2*,D1,D2star,pr_auc,-0.079754,0.749934,-0.608333,0.127723,48,False,EXPLORATORY_DEMO_V6
turning_point,1,M1,M2,D1,D2,accuracy,-0.06,0.2951,-0.16,0.04,50,False,EXPLORATORY_DEMO_V6
turning_point,1,M1,M2,D1,D2,balanced_accuracy,-0.058776,0.34275,-0.175,0.041051,50,True,EXPLORATORY_DEMO_V6
turning_point,1,M0,ME,D0,DE,accuracy,-0.02,0.7133,-0.1,0.1,50,False,EXPLORATORY_DEMO_V6
turning_point,1,M0,ME,D0,DE,balanced_accuracy,-0.02818,0.522,-0.105475,0.105782,50,False,EXPLORATORY_DEMO_V6
turning_point,1,M0,M1,D0,D1,accuracy,-0.04,0.52135,-0.18,0.06,50,False,EXPLORATORY_DEMO_V6
turning_point,1,M0,M1,D0,D1,balanced_accuracy,-0.046699,0.40055,-0.153846,0.053571,50,False,EXPLORATORY_DEMO_V6
turning_point,1,M1,M2*,D1,D2star,accuracy,-0.08,0.0979,-0.18,0.02,50,False,EXPLORATORY_DEMO_V6
turning_point,1,M1,M2*,D1,D2star,balanced_accuracy,-0.077295,0.11275,-0.179487,0.017857,50,False,EXPLORATORY_DEMO_V6
