role,horizon,cell,model,is_primary_horizon,primary_metric,n,n_positive,accuracy,brier,base_rate,balanced_accuracy,mcc,pr_auc,roc_auc,precision,recall,inner_cv_log_loss,inner_cv_accuracy,generalization_gap_accuracy,status
direction,1,D0,M0,True,balanced_accuracy,50,22,0.54,0.24745,0.44,0.487013,-0.05429,0.515963,0.521104,0.333333,0.045455,0.698545,0.56,0.02,EXPLORATORY
direction,1,D1,M1,True,balanced_accuracy,50,22,0.58,0.245245,0.44,0.547078,0.112826,0.497158,0.537338,0.545455,0.272727,0.703708,0.577222,-0.002778,EXPLORATORY
direction,1,DE,ME,True,balanced_accuracy,50,22,0.52,0.265716,0.44,0.483766,-0.040291,0.46572,0.516234,0.4,0.181818,0.681887,0.616111,0.096111,EXPLORATORY
direction,1,D2,M2,True,balanced_accuracy,50,22,0.54,0.273413,0.44,0.511364,0.02572,0.498525,0.542208,0.461538,0.272727,0.662575,0.608333,0.068333,EXPLORATORY
direction,1,D2star,M2*,True,balanced_accuracy,50,22,0.56,0.27316,0.44,0.534091,0.075378,0.498934,0.540584,0.5,0.318182,,,,EXPLORATORY_OPERATIONAL
direction,2,D0,M0,False,balanced_accuracy,49,18,0.632653,0.24122,0.367347,0.511649,0.056763,0.466717,0.528674,0.5,0.055556,0.711736,0.573178,-0.059475,EXPLORATORY
direction,2,D1,M1,False,balanced_accuracy,49,18,0.612245,0.238697,0.367347,0.553763,0.117412,0.460167,0.575269,0.461538,0.333333,0.718265,0.6,-0.012245,EXPLORATORY
direction,2,DE,ME,False,balanced_accuracy,49,18,0.591837,0.268062,0.367347,0.491039,-0.026356,0.372317,0.476703,0.333333,0.111111,0.709649,0.563265,-0.028572,EXPLORATORY
direction,2,D2,M2,False,balanced_accuracy,49,18,0.591837,0.259573,0.367347,0.549283,0.101328,0.378828,0.494624,0.4375,0.388889,0.713232,0.588921,-0.002916,EXPLORATORY
direction,2,D2star,M2*,False,balanced_accuracy,49,18,0.591837,0.255499,0.367347,0.549283,0.101328,0.369082,0.485663,0.4375,0.388889,,,,EXPLORATORY_OPERATIONAL
direction,3,D0,M0,False,balanced_accuracy,48,21,0.5,0.25522,0.4375,0.444444,-0.22771,0.399954,0.419753,0.0,0.0,0.738342,0.512255,0.012255,EXPLORATORY
direction,3,D1,M1,False,balanced_accuracy,48,21,0.479167,0.253282,0.4375,0.457672,-0.089087,0.471093,0.465608,0.375,0.285714,0.717819,0.601103,0.121936,EXPLORATORY
direction,3,DE,ME,False,balanced_accuracy,48,21,0.625,0.250225,0.4375,0.587302,0.221917,0.495709,0.534392,0.666667,0.285714,0.723602,0.520833,-0.104167,EXPLORATORY
direction,3,D2,M2,False,balanced_accuracy,48,21,0.479167,0.259298,0.4375,0.457672,-0.089087,0.473556,0.470899,0.375,0.285714,0.70916,0.621324,0.142157,EXPLORATORY
direction,3,D2star,M2*,False,balanced_accuracy,48,21,0.5,0.256375,0.4375,0.47619,-0.050965,0.476355,0.477954,0.4,0.285714,,,,EXPLORATORY_OPERATIONAL
large_move,1,D0,M0,True,pr_auc,50,14,0.72,0.199875,0.28,0.5,0.0,0.355809,0.597222,,0.0,0.783084,0.641111,-0.078889,EXPLORATORY
large_move,1,D1,M1,True,pr_auc,50,14,0.72,0.199413,0.28,0.5,0.0,0.34194,0.589286,,0.0,0.829712,0.625,-0.095,EXPLORATORY
large_move,1,DE,ME,True,pr_auc,50,14,0.72,0.211884,0.28,0.5,0.0,0.308848,0.501984,,0.0,0.78309,0.641667,-0.078333,EXPLORATORY
large_move,1,D2,M2,True,pr_auc,50,14,0.72,0.209936,0.28,0.5,0.0,0.307333,0.517857,,0.0,0.825901,0.631111,-0.088889,EXPLORATORY
large_move,1,D2star,M2*,True,pr_auc,50,14,0.72,0.208392,0.28,0.5,0.0,0.332422,0.553571,,0.0,,,,EXPLORATORY_OPERATIONAL
large_move,2,D0,M0,False,pr_auc,49,15,0.693878,0.233822,0.306122,0.5,0.0,0.275121,0.303922,,0.0,0.726242,0.678134,-0.015744,EXPLORATORY
large_move,2,D1,M1,False,pr_auc,49,15,0.693878,0.232395,0.306122,0.5,0.0,0.362447,0.431373,,0.0,0.772647,0.651312,-0.042566,EXPLORATORY
large_move,2,DE,ME,False,pr_auc,49,15,0.693878,0.237111,0.306122,0.5,0.0,0.257183,0.290196,,0.0,0.726241,0.676968,-0.01691,EXPLORATORY
large_move,2,D2,M2,False,pr_auc,49,15,0.693878,0.236484,0.306122,0.5,0.0,0.346173,0.405882,,0.0,0.773793,0.653061,-0.040817,EXPLORATORY
large_move,2,D2star,M2*,False,pr_auc,49,15,0.693878,0.23502,0.306122,0.5,0.0,0.365176,0.417647,,0.0,,,,EXPLORATORY_OPERATIONAL
large_move,3,D0,M0,False,pr_auc,48,13,0.729167,0.208926,0.270833,0.5,0.0,0.365531,0.395604,,0.0,0.776822,0.67402,-0.055147,EXPLORATORY
large_move,3,D1,M1,False,pr_auc,48,13,0.729167,0.20888,0.270833,0.5,0.0,0.478472,0.448352,,0.0,0.826854,0.647059,-0.082108,EXPLORATORY
large_move,3,DE,ME,False,pr_auc,48,13,0.75,0.208943,0.270833,0.538462,0.239339,0.413112,0.50989,1.0,0.076923,0.756988,0.677696,-0.072304,EXPLORATORY
large_move,3,D2,M2,False,pr_auc,48,13,0.770833,0.204381,0.270833,0.576923,0.342136,0.444624,0.523077,1.0,0.153846,0.794557,0.661765,-0.109068,EXPLORATORY
large_move,3,D2star,M2*,False,pr_auc,48,13,0.75,0.206658,0.270833,0.538462,0.239339,0.398718,0.518681,1.0,0.076923,,,,EXPLORATORY_OPERATIONAL
turning_point,1,D0,M0,True,balanced_accuracy,50,27,0.4,0.280615,0.54,0.4219,-0.187931,0.416829,0.2657,0.363636,0.148148,0.709981,0.521667,0.121667,EXPLORATORY
turning_point,1,D1,M1,True,balanced_accuracy,50,27,0.36,0.296586,0.54,0.375201,-0.27146,0.431004,0.288245,0.333333,0.185185,0.729679,0.525556,0.165556,EXPLORATORY
turning_point,1,DE,ME,True,balanced_accuracy,50,27,0.38,0.292714,0.54,0.39372,-0.227106,0.458557,0.384863,0.375,0.222222,0.705229,0.511667,0.131667,EXPLORATORY
turning_point,1,D2,M2,True,balanced_accuracy,50,27,0.3,0.312525,0.54,0.316425,-0.407543,0.442508,0.323671,0.214286,0.111111,0.71223,0.536667,0.236667,EXPLORATORY
turning_point,1,D2star,M2*,True,balanced_accuracy,50,27,0.28,0.308628,0.54,0.297907,-0.459257,0.436664,0.307568,0.153846,0.074074,,,,EXPLORATORY_OPERATIONAL
