origin_date,role,horizon,cell,model,alpha_H,alpha_X,alpha_E,ev_family,inner_log_loss
2021-11-30,direction,1,D0,M0,100.0,,,,0.70304
2021-11-30,direction,1,D1,M1,100.0,100.0,,,0.689086
2021-11-30,direction,1,DE,ME,100.0,,10.0,EV-F1,0.672398
2021-11-30,direction,1,D2,M2,10.0,10.0,1.0,EV-F1,0.598268
2021-11-30,direction,2,D0,M0,100.0,,,,0.749863
2021-11-30,direction,2,D1,M1,100.0,100.0,,,0.76295
2021-11-30,direction,2,DE,ME,100.0,,100.0,EV-F0,0.754811
2021-11-30,direction,2,D2,M2,100.0,100.0,100.0,EV-F0,0.766339
2021-11-30,direction,3,D0,M0,100.0,,,,0.824478
2021-11-30,direction,3,D1,M1,100.0,10.0,,,0.722193
2021-11-30,direction,3,DE,ME,100.0,,100.0,EV-F0,0.834544
2021-11-30,direction,3,D2,M2,100.0,10.0,10.0,EV-F0,0.651387
2021-11-30,large_move,1,D0,M0,100.0,,,,0.660676
2021-11-30,large_move,1,D1,M1,100.0,100.0,,,0.73459
2021-11-30,large_move,1,DE,ME,100.0,,10.0,EV-F1,0.611341
2021-11-30,large_move,1,D2,M2,100.0,100.0,1.0,EV-F0,0.632378
2021-11-30,large_move,2,D0,M0,100.0,,,,0.589491
2021-11-30,large_move,2,D1,M1,100.0,100.0,,,0.657836
2021-11-30,large_move,2,DE,ME,100.0,,100.0,EV-F0,0.591161
2021-11-30,large_move,2,D2,M2,100.0,100.0,100.0,EV-F0,0.660252
2021-11-30,large_move,3,D0,M0,100.0,,,,0.629339
2021-11-30,large_move,3,D1,M1,100.0,100.0,,,0.731116
2021-11-30,large_move,3,DE,ME,100.0,,10.0,EV-F0,0.623574
2021-11-30,large_move,3,D2,M2,100.0,100.0,10.0,EV-F1,0.693546
2021-11-30,turning_point,1,D0,M0,100.0,,,,0.762482
2021-11-30,turning_point,1,D1,M1,100.0,100.0,,,0.845111
2021-11-30,turning_point,1,DE,ME,100.0,,10.0,EV-F1,0.739091
2021-11-30,turning_point,1,D2,M2,100.0,100.0,10.0,EV-F1,0.757765
2021-12-31,direction,1,D0,M0,100.0,,,,0.738365
