origin_date,target_month,y_true,M1_CTRL,M2_INT,M2_PERSIST,M2_RW,INT_A_trade_x_caputl,INT_B_geo_x_power,INT_C_demand_x_indpro
2021-11-30,2021-12,739.064,668.306464,667.979915,676.898094,666.638353,-0.001793,-1.8e-05,0.0
2021-12-31,2022-01,689.363,731.854448,731.498881,730.053827,729.345733,-0.001886,-2.1e-05,0.0
2022-01-31,2022-02,687.35,694.349292,693.656638,692.306633,695.884242,-0.001407,-2.2e-05,0.0
2022-02-28,2022-03,858.642,624.751486,625.691832,647.832767,604.017967,-0.001266,-0.11153,0.0
2022-03-31,2022-04,859.242,619.953104,621.067586,627.224607,598.500461,0.157416,0.17997,0.0
2022-04-30,2022-05,756.577,760.439763,762.352973,717.627455,760.304798,-0.0,-0.006188,0.0
2022-05-31,2022-06,679.742,773.434985,770.132953,710.917905,772.857276,-0.034254,0.001296,0.0
2022-06-30,2022-07,593.864,778.115352,777.770063,737.411053,777.629141,-0.030824,-0.015371,0.0
2022-07-31,2022-08,546.383,715.142783,700.817181,703.636921,714.734224,-0.022686,-0.078806,0.0
2022-08-31,2022-09,527.719,596.001457,578.135087,609.031999,595.509776,-0.016593,-0.105645,0.0
2022-09-30,2022-10,510.006,525.372053,513.969494,527.37086,524.883015,-0.015971,-0.097122,0.0
2022-10-31,2022-11,493.08,459.879934,460.380862,459.507873,459.669564,-0.009707,-0.028164,0.0
2022-11-30,2022-12,517.66,445.174672,448.226023,427.977332,444.888017,-0.006908,0.024889,-0.0
2022-12-31,2023-01,570.52,453.675206,453.749457,425.779121,453.175303,-0.006537,0.064922,0.0
2023-01-31,2023-02,606.166,503.386627,499.302727,461.786091,502.826955,-0.003752,0.053257,-0.0
2023-02-28,2023-03,664.4,544.86314,542.558103,498.301511,544.418406,0.00156,-0.00709,-0.0
2023-03-31,2023-04,651.118,580.059392,579.934762,551.956876,579.662129,0.001358,-0.020898,-0.0
2023-04-30,2023-05,617.717,617.389628,617.492319,614.997352,614.532897,-0.00011,-0.012918,0.0
2023-05-31,2023-06,557.441,590.499617,590.512031,645.094751,590.392649,-0.000249,0.00928,-0.070535
2023-06-30,2023-07,539.555,570.395844,568.110368,566.799271,570.00764,-0.000872,0.003637,0.06922
2023-07-31,2023-08,543.896,553.08522,555.62512,552.819154,552.968785,-0.001889,-0.0216,-0.0
2023-08-31,2023-09,547.501,519.792922,518.573022,519.172224,518.042163,-0.001062,-0.027149,-0.0
2023-09-30,2023-10,534.762,541.82792,540.773463,541.019511,541.576778,-0.001756,-0.021734,0.0
2023-10-31,2023-11,554.973,548.589293,548.47115,547.784485,548.315492,-0.000838,-8.5e-05,0.0
2023-11-30,2023-12,608.785,546.690574,546.481854,546.008024,546.467645,-7e-06,0.009524,-0.0
2023-12-31,2024-01,620.161,578.635541,578.792137,584.924729,580.044934,-9e-06,-0.746114,-0.0
2024-01-31,2024-02,603.853,605.624509,605.394334,605.502609,606.565724,-2e-06,-0.021945,-0.0
2024-02-29,2024-03,556.234,603.985374,603.742619,602.345174,603.796482,-1e-06,0.020381,0.0
2024-03-31,2024-04,543.767,586.790836,586.672303,586.132959,588.581338,5e-06,-0.041788,-0.0
2024-04-30,2024-05,541.476,547.48088,546.291208,550.231771,563.797853,-0.065459,-0.002504,0.0
2024-05-31,2024-06,521.206,551.666168,552.226068,513.486115,552.956969,0.020249,0.004268,0.0
2024-06-30,2024-07,522.499,535.167209,535.00554,528.920229,534.828224,0.002437,0.009507,0.0
2024-07-31,2024-08,520.709,520.691317,520.56836,520.332837,520.378811,-0.003189,-0.016678,0.0
2024-08-31,2024-09,516.389,534.012594,533.889373,530.289665,533.701588,-0.000848,-0.057618,0.0
2024-09-30,2024-10,526.359,525.730942,525.433973,526.053685,526.581137,-0.009769,-0.04667,-0.0
2024-10-31,2024-11,527.912,537.161219,536.871297,536.715597,536.86466,0.000405,0.015799,-0.0
2024-11-30,2024-12,514.749,554.088339,553.706369,553.45793,553.735576,0.002639,0.032354,-0.0
2024-12-31,2025-01,530.866,547.774968,547.08815,546.05694,547.426264,0.002234,0.175124,-0.0
2025-01-31,2025-02,574.367,517.413844,517.12454,516.747211,517.205462,0.001016,0.026435,0.0
2025-02-28,2025-03,607.858,542.944158,540.822713,547.333599,544.156876,-0.089677,0.00433,0.0
2025-03-31,2025-04,567.259,578.736486,578.590174,577.471273,578.473627,0.005,-0.005195,0.0
2025-04-30,2025-05,538.243,574.822145,575.791291,567.734424,576.438688,0.062319,-0.000919,0.0
2025-05-31,2025-06,530.948,548.327233,547.589339,551.518281,563.937932,-0.03964,-0.000332,0.0
2025-06-30,2025-07,530.174,528.555408,531.109822,537.675702,541.152222,-0.007268,-0.037833,-0.0
2025-07-31,2025-08,530.965,523.969168,531.17686,523.983675,523.758725,-0.02,-0.091203,0.0
2025-08-31,2025-09,527.241,526.899409,534.44719,526.543751,526.621989,-0.009627,-0.094309,0.0
2025-09-30,2025-10,517.244,533.996361,533.909467,532.755034,533.617083,-0.013223,-0.080105,0.0
2025-10-31,2025-11,519.92,527.688137,528.892196,527.03066,527.509817,-0.011147,-0.068301,0.0
2025-11-30,2025-12,532.289,528.054597,527.825317,527.182983,527.858165,-0.009144,0.000786,0.0
2025-12-31,2026-01,573.649,529.022216,528.601951,527.968815,527.243628,-0.00761,0.000317,0.0
