origin_date,target_month,y_true,M1_star,abs_error,U0_lo,U0_hi,U1_lo,U1_hi,tail_upper_thr,tail_lower_thr,y_tail_upper,y_tail_lower,T0_upper_p,T1_upper_p,T0_lower_p,T1_lower_p
2022-12-31,2023-01,570.52,486.2287851959919,84.291215,246.553782,725.903788,341.787479,630.670092,54.915169,-91.100694,1.0,0.0,0.053829,0.02124,0.061258,0.073681
2023-01-31,2023-02,606.166,519.5391338896352,86.626866,279.864131,759.214137,353.822394,685.255874,62.268901,-89.87708,1.0,0.0,0.037929,0.017066,0.006334,0.009498
2023-02-28,2023-03,664.4,541.0646350547897,123.335365,336.828143,745.301127,395.950277,686.178993,71.831009,-88.653466,1.0,0.0,0.461491,0.102179,0.000126,0.000688
2023-03-31,2023-04,651.118,580.0867672719105,71.031233,375.850275,784.323259,435.511029,724.662506,84.758345,-87.429852,0.0,0.0,0.85472,0.35045,0.000265,0.001405
2023-04-30,2023-05,617.717,615.5661679865751,2.150832,411.329676,819.80266,468.759413,762.372923,86.626866,-86.206238,0.0,0.0,0.696212,0.150429,0.016126,0.051527
2023-05-31,2023-06,557.441,574.8739177814914,17.432918,370.637426,779.11041,349.329694,800.418142,86.159736,-85.220417,0.0,0.0,0.40322,0.798641,0.014998,0.006634
2023-06-30,2023-07,539.555,566.2562128409079,26.701213,362.019721,770.492705,451.397322,681.115104,85.692606,-84.234597,0.0,0.0,0.304402,0.11508,0.02036,0.037304
2023-07-31,2023-08,543.896,513.9713118262421,29.924688,331.258838,696.683786,380.993306,646.949317,85.225475,-83.248776,0.0,0.0,0.305845,0.160802,0.021664,0.033651
2023-08-31,2023-09,547.501,515.6167722174135,31.884228,332.904298,698.329247,387.483502,643.750042,84.758345,-82.262956,0.0,0.0,0.293913,0.115591,0.014024,0.026645
2023-09-30,2023-10,534.762,533.3899470211468,1.372053,350.677473,716.102421,408.726893,658.053001,84.291215,-81.277136,0.0,0.0,0.196524,0.042064,0.025019,0.044753
2023-10-31,2023-11,554.973,536.9573339216988,18.015666,354.24486,719.669808,414.838207,659.076461,81.639218,-74.55496,0.0,0.0,0.193189,0.057204,0.108405,0.184332
2023-11-30,2023-12,608.785,533.1700107707993,75.614989,350.457536,715.882485,431.729571,634.610451,78.987222,-67.832785,0.0,0.0,0.419396,0.441186,0.012823,0.016666
2023-12-31,2024-01,620.161,574.5181006797493,45.642899,451.182736,697.853466,395.031896,754.004306,76.335226,-61.11061,0.0,0.0,0.459927,0.990554,0.016972,0.005909
2024-01-31,2024-02,603.853,603.949976055698,0.096976,480.614611,727.285341,435.219485,772.680467,77.350234,-54.388435,0.0,0.0,0.430649,0.968009,0.00813,0.005124
2024-02-29,2024-03,556.234,605.8145757907126,49.580576,482.479211,729.149941,481.385477,730.243675,75.614989,-47.666259,0.0,1.0,0.187182,0.051057,0.009736,0.022109
2024-03-31,2024-04,543.767,585.0419639089456,41.274964,461.706599,708.377329,431.72263,738.361298,74.698238,-45.760869,0.0,0.0,0.23263,0.696719,0.00253,0.000167
2024-04-30,2024-05,541.476,540.6681667341127,0.807833,417.332802,664.003532,359.719708,721.616626,73.781487,-48.814849,0.0,0.0,0.178148,0.696398,0.027662,0.002635
2024-05-31,2024-06,521.206,526.9103896994861,5.70439,434.586081,619.234698,381.551737,672.269042,72.864735,-48.431986,0.0,0.0,0.142235,0.394899,0.052073,0.0063
2024-06-30,2024-07,522.499,522.971734811296,0.472735,430.647426,615.296043,419.715228,626.228242,71.947984,-48.049123,0.0,0.0,0.145857,0.032678,0.041862,0.160761
2024-07-31,2024-08,520.709,512.3107831523746,8.398217,419.986475,604.635092,419.029713,605.591854,71.031233,-47.666259,0.0,0.0,0.055926,0.015534,0.11355,0.300163
