model,regime,n,direction_agreement,mean_pred_change,mean_actual_change,mean_abs_pred_change,mean_abs_actual_change,magnitude_ratio,mae
N0,all,50,0.0,0.0,-6.2301,0.0,50.31882,0.0,50.31882
N0,large_move,10,0.0,0.0,-15.1791,0.0,125.8183,0.0,125.8183
N0,turning,18,0.0,0.0,-3.9485,0.0,32.776056,0.0,32.776056
N0,normal,25,0.0,0.0,-2.13392,0.0,41.21192,0.0,41.21192
M0_v5,all,50,0.54,-18.462969,-6.2301,23.939977,50.31882,0.475766,49.189718
M0_v5,large_move,10,0.4,-27.281435,-15.1791,45.383428,125.8183,0.360706,123.118278
M0_v5,turning,18,0.555556,-18.779907,-3.9485,21.990964,32.776056,0.670946,29.479904
M0_v5,normal,25,0.6,-18.676859,-2.13392,20.078117,41.21192,0.487192,39.235794
M1_star,all,50,0.6,-14.208676,-6.2301,23.547698,50.31882,0.46797,48.825362
M1_star,large_move,10,0.4,-29.796414,-15.1791,49.938837,125.8183,0.396912,130.21398
M1_star,turning,18,0.555556,-19.379304,-3.9485,25.270501,32.776056,0.771005,32.89198
M1_star,normal,25,0.68,-10.01085,-2.13392,16.840195,41.21192,0.408624,37.261959
M2_star,all,50,0.56,-11.908628,-6.2301,25.41911,50.31882,0.505161,51.039376
M2_star,large_move,10,0.4,-29.796414,-15.1791,49.938837,125.8183,0.396912,130.21398
M2_star,turning,18,0.5,-15.104632,-3.9485,23.292748,32.776056,0.710664,36.927672
M2_star,normal,25,0.64,-8.488519,-2.13392,22.007001,41.21192,0.533996,38.78429
