model,n,mae_all,mae_shock,n_shock,mae_normal,n_normal,direction_accuracy,direction_accuracy_shock
N0,50,50.31882,137.716,8,33.671738,42,0.0,0.0
M0,50,49.189718,128.523563,8,34.078509,42,0.54,0.5
M1_star,50,48.825362,142.779199,8,30.929393,42,0.6,0.375
M2_star,50,51.039376,142.779199,8,33.565124,42,0.56,0.375
M1_X,50,50.479174,138.442599,8,33.724235,42,0.58,0.375
M2_E,50,50.168896,145.998302,8,31.915676,42,0.54,0.0
M2_XE,50,51.334257,139.446977,8,34.550882,42,0.54,0.125
M2_Gate,50,46.759875,141.028453,8,28.803955,42,0.6,0.375
M1_Gate,50,48.276015,140.881118,8,30.636948,42,0.6,0.375
M1_DS1,50,49.080588,142.779199,8,31.233233,42,0.58,0.375
