origin_date,target_month,anchor_N0,y_true,actual_change,shock_threshold,is_shock,shock_case,M0,M1_star,M2_star,M1_X,M2_E,M2_XE,M2_Gate,gate_g,PEP,NEP,dPEP,dNEP,impulse_up,impulse_down,freshness,rw_up,rw_down,shock_A_TRADE_POLICY,shock_B_GEO_SUPPLY,shock_C_DEMAND_MACRO,event_signal,event_signal_threshold
2021-11-30,2021-12,690.1,739.064,48.964,62.86,0,D,674.355618,718.584976,718.584976,698.249231,705.701384,702.37725,714.325419,0.26281,0.477356,0.346047,-0.007529,-0.006731,0.0,0.0,0.047619,0.0,0.0,-0.002662,2.2e-05,0.0,0.477356,0.844682
2021-12-31,2022-01,765.016,689.363,-75.653,66.6,1,B,728.354782,770.640136,770.640136,777.211808,781.959983,781.694095,773.550081,0.263249,0.470724,0.340052,-0.006632,-0.005995,0.0,0.0,0.045455,0.0,0.0,-0.002239,1.9e-05,0.0,0.470724,0.841457
2022-01-31,2022-02,737.872,687.35,-50.522,63.3872,0,D,689.455256,735.016259,735.016259,751.652997,755.22958,756.199824,740.500323,0.258883,0.464881,0.334713,-0.005843,-0.005339,0.0,0.0,0.043478,0.0,0.0,-0.001881,1.7e-05,0.0,0.464881,0.838232
2022-02-28,2022-03,659.741,858.642,198.901,64.4,1,A,622.067627,618.966997,618.966997,667.267955,659.187786,655.331393,621.745587,0.07641,0.939971,0.538416,0.47509,0.203703,0.888889,0.311111,1.0,0.888889,0.311111,-0.001583,0.608942,0.0,0.939971,0.835007
2022-03-31,2022-04,661.402,859.242,197.84,68.8,1,A,622.707583,598.190943,598.190943,663.342235,659.798246,651.603736,601.445789,0.060938,0.996568,0.652471,0.056597,0.114055,0.888889,0.355556,1.0,0.888889,0.355556,0.223044,0.121838,0.0,0.996568,0.831782
2022-04-30,2022-05,844.532,756.577,-87.955,73.84,1,A,764.240884,693.052795,693.052795,852.5306,848.480956,844.670509,709.537972,0.108729,0.99144,0.634568,-0.005128,-0.017903,0.8,0.355556,1.0,0.8,0.355556,-0.0,-0.006925,0.0,0.99144,0.844682
2022-05-31,2022-06,831.034,679.742,-151.292,75.9376,1,A,772.066309,772.066309,772.066309,845.397873,849.393665,848.940575,787.033089,0.194692,0.977606,0.592537,-0.013834,-0.042031,0.0,0.0,0.5,0.0,0.0,-0.039271,-0.019608,0.0,0.977606,0.856831
2022-06-30,2022-07,756.48,593.864,-162.616,71.32,1,A,798.100492,798.100492,798.100492,766.400272,772.699594,768.771447,792.341246,0.196367,0.957998,0.555306,-0.019608,-0.037231,0.0,0.0,0.333333,0.0,0.0,-0.033024,-0.027297,0.0,0.957998,0.863584
2022-07-31,2022-08,680.206,546.383,-133.823,75.64,1,A,729.095474,729.095474,729.095474,643.384984,685.74957,624.625672,708.165559,0.200344,0.935231,0.524797,-0.022767,-0.030509,0.0,0.0,0.25,0.0,0.0,-0.02475,-0.031477,0.0,0.935231,0.865759
2022-08-31,2022-09,594.231,527.719,-66.512,77.8,0,C,598.249726,613.925238,653.926224,533.467297,597.612763,524.496215,595.667225,0.204162,0.911365,0.500279,-0.023866,-0.024518,0.0,0.0,0.2,0.0,0.0,-0.018026,-0.033238,0.0,0.911365,0.86963
2022-09-30,2022-10,562.991,510.006,-52.985,80.4616,0,C,529.600911,548.145306,606.60423,490.044077,563.589413,405.442454,517.288721,0.21623,0.886142,0.478364,-0.025223,-0.021915,0.0,0.0,0.166667,0.0,0.0,-0.016058,-0.033358,0.0,0.886142,0.884447
2022-10-31,2022-11,528.942,493.08,-35.862,79.7962,0,D,462.403511,492.302668,492.302668,475.377622,528.001621,468.627764,487.302723,0.211192,0.860421,0.458837,-0.025721,-0.019527,0.0,0.0,0.142857,0.0,0.0,-0.014307,-0.032405,0.0,0.860421,0.888594
2022-11-30,2022-12,503.35,517.66,14.31,79.1308,0,D,441.458259,457.274056,457.274056,501.15824,502.010799,494.828512,465.032605,0.206595,0.834885,0.441479,-0.025536,-0.017358,0.0,0.0,0.125,0.0,0.0,-0.012746,-0.030783,0.0,0.834885,0.888446
2022-12-31,2023-01,494.258,570.52,76.262,78.4654,0,D,449.842502,486.228785,486.228785,496.367,493.035782,490.438499,487.080711,0.202371,0.810052,0.426081,-0.024833,-0.015398,0.0,0.0,0.111111,0.0,0.0,-0.011355,-0.02877,0.0,0.810052,0.888299
2023-01-31,2023-02,534.202,606.166,71.964,77.8,0,D,500.343669,519.539134,519.539134,536.886737,534.334846,532.279638,522.067685,0.198466,0.786291,0.412442,-0.023761,-0.013639,0.0,0.0,0.1,0.0,0.0,-0.010115,-0.026571,0.0,0.786291,0.888151
2023-02-28,2023-03,591.546,664.4,72.854,80.4616,0,D,545.442805,541.064635,541.064635,592.337611,594.323352,589.679765,551.204461,0.208573,0.763851,0.400378,-0.02244,-0.012064,0.0,0.0,0.090909,0.0,0.0,-0.009014,-0.024312,0.0,0.763851,0.887749
2023-03-31,2023-04,626.106,651.118,25.012,84.4108,0,D,580.086767,580.086767,580.086767,628.778513,631.269522,627.260344,589.782957,0.205543,0.742878,0.389716,-0.020973,-0.010662,0.0,0.0,0.083333,0.0,0.0,-0.008029,-0.022091,0.0,0.742878,0.887347
2023-04-30,2023-05,671.838,617.717,-54.121,83.3162,0,D,615.566168,615.566168,692.510276,676.820544,678.777055,675.907939,627.741619,0.201775,0.723446,0.380301,-0.019432,-0.009415,0.0,0.0,0.076923,0.0,0.0,-0.007153,-0.019961,0.0,0.723446,0.886946
2023-05-31,2023-06,651.089,557.441,-93.648,82.2216,1,B,586.591776,574.873918,574.873918,658.711446,654.174682,659.294648,592.198996,0.205223,0.705567,0.657338,-0.017879,0.277037,0.0,0.524444,1.0,0.0,0.524444,-0.006373,-0.017958,-0.396011,0.705567,0.886544
2023-06-30,2023-07,602.014,539.555,-62.459,81.127,0,D,566.256213,566.256213,566.256213,607.32921,590.9513,464.678397,546.80357,0.191505,0.643792,0.271806,-0.061775,-0.385532,0.0,0.0,0.066667,0.0,0.0,-0.005677,-0.016098,0.396011,0.643792,0.886142
2023-07-31,2023-08,539.463,543.896,4.433,85.5054,0,D,513.971312,513.971312,513.971312,516.962473,545.537231,525.994768,516.320602,0.195392,0.627081,0.265086,-0.016711,-0.00672,0.0,0.0,0.0625,0.0,0.0,-0.005059,-0.014391,0.0,0.627081,0.88284
2023-08-31,2023-09,519.409,547.501,28.092,87.26,0,D,507.706353,515.616772,515.616772,482.235462,525.522915,492.497086,511.035986,0.198134,0.611953,0.259176,-0.015128,-0.00591,0.0,0.0,0.058824,0.0,0.0,-0.004506,-0.012837,0.0,0.611953,0.879537
2023-09-30,2023-10,556.201,534.762,-21.439,83.3162,0,D,539.564481,533.389947,533.389947,552.987358,563.638717,557.365159,537.919692,0.188935,0.598302,0.253978,-0.013651,-0.005198,0.0,0.0,0.055556,0.0,0.0,-0.004015,-0.011432,0.0,0.598302,0.876235
