target_month,week,cut_date,baseline_W0,y_true,n_new_events,pep_increment,nep_increment,net_increment,surprise,channels
2021-12,W1,2021-12-07,682.23545,739.064,0,0.0,0.0,0.0,0.0,
2021-12,W2,2021-12-14,682.23545,739.064,0,0.0,0.0,0.0,0.0,
2021-12,W3,2021-12-21,682.23545,739.064,0,0.0,0.0,0.0,0.0,
2021-12,W4,2021-12-31,682.23545,739.064,0,0.0,0.0,0.0,0.0,
2022-01,W1,2022-01-07,743.214207,689.363,0,0.0,0.0,0.0,0.0,
2022-01,W2,2022-01-14,743.214207,689.363,0,0.0,0.0,0.0,0.0,
2022-01,W3,2022-01-21,743.214207,689.363,0,0.0,0.0,0.0,0.0,
2022-01,W4,2022-01-31,743.214207,689.363,0,0.0,0.0,0.0,0.0,
2022-02,W1,2022-02-07,726.528271,687.35,0,0.0,0.0,0.0,0.0,
2022-02,W2,2022-02-14,726.528271,687.35,0,0.0,0.0,0.0,0.0,
2022-02,W3,2022-02-21,726.528271,687.35,0,0.0,0.0,0.0,0.0,
2022-02,W4,2022-02-28,726.528271,687.35,1,0.888889,0.311111,0.577778,0.888889,GEOPOLITICAL_CONFLICT
2022-03,W1,2022-03-07,641.4112,858.642,0,0.0,0.0,0.0,0.0,
2022-03,W2,2022-03-14,641.4112,858.642,1,0.888889,0.0,0.888889,0.888889,ENERGY_SUPPLY
2022-03,W3,2022-03-21,641.4112,858.642,1,0.8,0.355556,0.444444,0.8,TRADE_TARIFF_SANCTION
2022-03,W4,2022-03-31,641.4112,858.642,0,0.0,0.0,0.0,0.0,
2022-04,W1,2022-04-07,565.892883,859.242,0,0.0,0.0,0.0,0.0,
2022-04,W2,2022-04-14,565.892883,859.242,1,0.8,0.355556,0.444444,0.8,TRADE_TARIFF_SANCTION
2022-04,W3,2022-04-21,565.892883,859.242,0,0.0,0.0,0.0,0.0,
2022-04,W4,2022-04-30,565.892883,859.242,0,0.0,0.0,0.0,0.0,
2022-05,W1,2022-05-07,682.921523,756.577,0,0.0,0.0,0.0,0.0,
2022-05,W2,2022-05-14,682.921523,756.577,0,0.0,0.0,0.0,0.0,
2022-05,W3,2022-05-21,682.921523,756.577,0,0.0,0.0,0.0,0.0,
2022-05,W4,2022-05-31,682.921523,756.577,0,0.0,0.0,0.0,0.0,
2022-06,W1,2022-06-07,737.401983,679.742,0,0.0,0.0,0.0,0.0,
2022-06,W2,2022-06-14,737.401983,679.742,0,0.0,0.0,0.0,0.0,
2022-06,W3,2022-06-21,737.401983,679.742,0,0.0,0.0,0.0,0.0,
2022-06,W4,2022-06-30,737.401983,679.742,0,0.0,0.0,0.0,0.0,
2022-07,W1,2022-07-07,777.478019,593.864,0,0.0,0.0,0.0,0.0,
2022-07,W2,2022-07-14,777.478019,593.864,0,0.0,0.0,0.0,0.0,
2022-07,W3,2022-07-21,777.478019,593.864,0,0.0,0.0,0.0,0.0,
2022-07,W4,2022-07-31,777.478019,593.864,0,0.0,0.0,0.0,0.0,
2022-08,W1,2022-08-07,684.395923,546.383,0,0.0,0.0,0.0,0.0,
2022-08,W2,2022-08-14,684.395923,546.383,0,0.0,0.0,0.0,0.0,
2022-08,W3,2022-08-21,684.395923,546.383,0,0.0,0.0,0.0,0.0,
2022-08,W4,2022-08-31,684.395923,546.383,0,0.0,0.0,0.0,0.0,
2022-09,W1,2022-09-07,558.754771,527.719,0,0.0,0.0,0.0,0.0,
2022-09,W2,2022-09-14,558.754771,527.719,0,0.0,0.0,0.0,0.0,
2022-09,W3,2022-09-21,558.754771,527.719,0,0.0,0.0,0.0,0.0,
2022-09,W4,2022-09-30,558.754771,527.719,0,0.0,0.0,0.0,0.0,
2022-10,W1,2022-10-07,497.312736,510.006,0,0.0,0.0,0.0,0.0,
2022-10,W2,2022-10-14,497.312736,510.006,0,0.0,0.0,0.0,0.0,
2022-10,W3,2022-10-21,497.312736,510.006,0,0.0,0.0,0.0,0.0,
2022-10,W4,2022-10-31,497.312736,510.006,0,0.0,0.0,0.0,0.0,
2022-11,W1,2022-11-07,447.5394,493.08,0,0.0,0.0,0.0,0.0,
2022-11,W2,2022-11-14,447.5394,493.08,0,0.0,0.0,0.0,0.0,
2022-11,W3,2022-11-21,447.5394,493.08,0,0.0,0.0,0.0,0.0,
2022-11,W4,2022-11-30,447.5394,493.08,0,0.0,0.0,0.0,0.0,
2022-12,W1,2022-12-07,440.335971,517.66,0,0.0,0.0,0.0,0.0,
2022-12,W2,2022-12-14,440.335971,517.66,0,0.0,0.0,0.0,0.0,
2022-12,W3,2022-12-21,440.335971,517.66,0,0.0,0.0,0.0,0.0,
2022-12,W4,2022-12-31,440.335971,517.66,0,0.0,0.0,0.0,0.0,
2023-01,W1,2023-01-07,456.347031,570.52,0,0.0,0.0,0.0,0.0,
2023-01,W2,2023-01-14,456.347031,570.52,0,0.0,0.0,0.0,0.0,
2023-01,W3,2023-01-21,456.347031,570.52,0,0.0,0.0,0.0,0.0,
2023-01,W4,2023-01-31,456.347031,570.52,0,0.0,0.0,0.0,0.0,
2023-02,W1,2023-02-07,507.978878,606.166,0,0.0,0.0,0.0,0.0,
2023-02,W2,2023-02-14,507.978878,606.166,0,0.0,0.0,0.0,0.0,
2023-02,W3,2023-02-21,507.978878,606.166,0,0.0,0.0,0.0,0.0,
2023-02,W4,2023-02-28,507.978878,606.166,0,0.0,0.0,0.0,0.0,
2023-03,W1,2023-03-07,539.396393,664.4,0,0.0,0.0,0.0,0.0,
2023-03,W2,2023-03-14,539.396393,664.4,0,0.0,0.0,0.0,0.0,
2023-03,W3,2023-03-21,539.396393,664.4,0,0.0,0.0,0.0,0.0,
2023-03,W4,2023-03-31,539.396393,664.4,0,0.0,0.0,0.0,0.0,
2023-04,W1,2023-04-07,568.11194,651.118,0,0.0,0.0,0.0,0.0,
2023-04,W2,2023-04-14,568.11194,651.118,0,0.0,0.0,0.0,0.0,
2023-04,W3,2023-04-21,568.11194,651.118,0,0.0,0.0,0.0,0.0,
2023-04,W4,2023-04-30,568.11194,651.118,0,0.0,0.0,0.0,0.0,
2023-05,W1,2023-05-07,608.579618,617.717,0,0.0,0.0,0.0,0.0,
2023-05,W2,2023-05-14,608.579618,617.717,1,0.0,0.524444,-0.524444,0.524444,PANDEMIC_EMERGENCY
2023-05,W3,2023-05-21,608.579618,617.717,0,0.0,0.0,0.0,0.0,
2023-05,W4,2023-05-31,608.579618,617.717,0,0.0,0.0,0.0,0.0,
2023-06,W1,2023-06-07,606.750695,557.441,0,0.0,0.0,0.0,0.0,
2023-06,W2,2023-06-14,606.750695,557.441,0,0.0,0.0,0.0,0.0,
2023-06,W3,2023-06-21,606.750695,557.441,0,0.0,0.0,0.0,0.0,
2023-06,W4,2023-06-30,606.750695,557.441,0,0.0,0.0,0.0,0.0,
2023-07,W1,2023-07-07,590.123079,539.555,0,0.0,0.0,0.0,0.0,
2023-07,W2,2023-07-14,590.123079,539.555,0,0.0,0.0,0.0,0.0,
2023-07,W3,2023-07-21,590.123079,539.555,0,0.0,0.0,0.0,0.0,
2023-07,W4,2023-07-31,590.123079,539.555,0,0.0,0.0,0.0,0.0,
2023-08,W1,2023-08-07,522.330714,543.896,0,0.0,0.0,0.0,0.0,
2023-08,W2,2023-08-14,522.330714,543.896,0,0.0,0.0,0.0,0.0,
2023-08,W3,2023-08-21,522.330714,543.896,0,0.0,0.0,0.0,0.0,
2023-08,W4,2023-08-31,522.330714,543.896,0,0.0,0.0,0.0,0.0,
2023-09,W1,2023-09-07,507.633369,547.501,0,0.0,0.0,0.0,0.0,
