month,PEP,NEP,net_A_TRADE_POLICY,shock_A_TRADE_POLICY,net_B_GEO_SUPPLY,shock_B_GEO_SUPPLY,net_C_DEMAND_MACRO,shock_C_DEMAND_MACRO
2013-01,0.0,0.0,0.0,,0.0,,0.0,
2013-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,0.672222,0.067222,0.605,0.605,0.0,0.0,0.0,0.0
2015-08,0.533543,0.053354,0.480189,-0.124811,0.0,0.0,0.0,0.0
2015-09,0.672222,0.067222,0.605,0.124811,0.0,0.0,0.0,0.0
2015-10,0.672222,0.067222,0.605,0.0,0.0,0.0,0.0,0.0
2015-11,0.533543,0.053354,0.480189,-0.124811,0.0,0.0,0.0,0.0
2015-12,0.755556,0.075556,0.68,0.199811,0.0,0.0,0.0,0.0
2016-01,0.615272,0.061527,0.553745,-0.126255,0.0,0.0,0.0,0.0
2016-02,0.503929,0.683464,0.453536,-0.100209,-0.666667,-0.666667,0.0,0.0
2016-03,0.415556,0.621264,0.374,-0.079536,-0.604843,0.061824,0.0,0.0
2016-04,0.345414,0.565315,0.310873,-0.063127,-0.549764,0.055079,0.0,0.0
2016-05,0.289742,0.515161,0.260768,-0.050105,-0.500694,0.04907,0.0,0.0
2016-06,0.245556,0.470312,0.221,-0.039768,-0.456978,0.043716,0.0,0.0
2016-07,0.210485,0.43028,0.189437,-0.031563,-0.418031,0.038947,0.0,0.0
2016-08,0.888889,0.438148,0.8,0.610563,-0.383333,0.034698,0.0,0.0
2016-09,0.806457,0.404646,0.725811,-0.074189,-0.352421,0.030912,0.0,0.0
2016-10,0.888889,0.384892,0.8,0.074189,-0.324882,0.027539,0.0,0.0
2016-11,0.888889,0.362538,0.8,0.0,-0.300347,0.024535,0.0,0.0
2016-12,0.888889,0.342623,0.8,0.0,-0.278489,0.021858,0.0,0.0
2017-01,0.775749,0.316497,0.698174,-0.101826,-0.259015,0.019474,0.0,0.0
2017-02,0.680609,0.29328,0.612548,-0.085626,-0.241667,0.017348,0.0,0.0
2017-03,0.609304,0.273358,0.548374,-0.064174,-0.226211,0.015456,0.0,0.0
2017-04,0.557375,0.256337,0.501638,-0.046736,-0.212441,0.01377,0.0,0.0
2017-05,0.86963,0.43585,0.57497,0.073332,-0.200173,0.012268,0.0,0.0
2017-06,0.744778,0.367572,0.524826,-0.050144,-0.189244,0.010929,0.0,0.0
2017-07,0.641011,0.315785,0.47492,-0.049906,-0.179508,0.009736,0.0,0.0
2017-08,0.555906,0.276268,0.428749,-0.046171,-0.170833,0.008675,0.0,0.0
2017-09,0.486577,0.245888,0.38766,-0.041089,-0.163105,0.007728,0.0,0.0
2017-10,0.43022,0.222323,0.351879,-0.035781,-0.15622,0.006885,0.0,0.0
2017-11,0.322222,0.177473,0.29,-0.061879,-0.150087,0.006133,0.0,0.0
2017-12,0.301614,0.170422,0.271453,-0.018547,-0.144622,0.005465,0.0,0.0
2018-01,0.283255,0.164121,0.25493,-0.016523,-0.139754,0.004868,0.0,0.0
2018-02,0.266898,0.158492,0.240208,-0.014722,-0.135417,0.004337,0.0,0.0
2018-03,0.252326,0.153466,0.227093,-0.013115,-0.131553,0.003864,0.0,0.0
2018-04,1.0,0.446836,0.634443,0.40735,-0.12811,0.003443,0.0,0.0
2018-05,0.928387,0.41648,0.5953,-0.039143,-0.125043,0.003067,0.0,0.0
2018-06,0.86278,0.389213,0.558684,-0.036616,-0.122311,0.002732,0.0,0.0
2018-07,0.802897,0.463775,0.412159,-0.146524,-0.119877,0.002434,0.0,0.0
2018-08,0.74841,0.401357,0.426918,0.014758,-0.117708,0.002169,0.0,0.0
2018-09,0.700318,0.460626,0.310316,-0.116602,-0.115776,0.001932,0.0,0.0
2018-10,0.695319,0.517332,0.240125,-0.070191,-0.114055,0.001721,0.0,0.0
2018-11,0.630302,0.467127,0.230737,-0.009388,-0.112522,0.001533,0.0,0.0
2018-12,0.584162,0.424709,0.231396,0.000659,-0.111156,0.001366,0.0,0.0
2019-01,0.55334,0.38888,0.239944,0.008547,-0.109938,0.001218,0.0,0.0
2019-02,0.525822,0.358624,0.245542,0.005599,-0.108854,0.001084,0.0,0.0
2019-03,0.50127,0.333079,0.248845,0.003303,-0.107888,0.000966,0.0,0.0
2019-04,0.479375,0.311515,0.250379,0.001534,-0.107028,0.00086,0.0,0.0
2019-05,0.459857,0.293312,0.250567,0.000188,-0.106261,0.000767,0.0,0.0
2019-06,0.442465,0.277949,0.249746,-0.000821,-0.105578,0.000683,0.0,0.0
2019-07,0.42697,0.264983,0.24819,-0.001556,-0.104969,0.000609,0.0,0.0
2019-08,0.413168,0.25404,0.24611,-0.00208,-0.104427,0.000542,0.0,0.0
2019-09,0.400878,0.244805,0.243677,-0.002433,-0.103944,0.000483,0.0,0.0
2019-10,0.389933,0.23701,0.241023,-0.002654,-0.103514,0.00043,0.0,0.0
2019-11,0.380189,0.230432,0.238249,-0.002774,-0.10313,0.000384,0.0,0.0
2019-12,0.371513,0.224879,0.235436,-0.002812,-0.102789,0.000341,0.0,0.0
2020-01,0.36379,0.220191,0.232642,-0.002794,-0.102485,0.000304,0.0,0.0
2020-02,1.0,0.426871,0.638381,0.405738,-0.102214,0.000271,0.0,0.0
2020-03,0.966544,0.803973,0.577595,-0.060786,-0.101972,0.000242,0.0,0.0
2020-04,0.961501,0.870842,0.526449,-0.051145,-0.101757,0.000215,0.0,0.0
2020-05,0.926937,0.815271,0.483422,-0.043028,-0.101565,0.000192,0.0,0.0
2020-06,0.888151,0.76274,0.447224,-0.036198,-0.101394,0.000171,0.0,0.0
2020-07,0.847907,0.713785,0.416777,-0.030448,-0.101242,0.000152,0.0,0.0
2020-08,0.808041,0.668651,0.391164,-0.025613,-0.101107,0.000135,0.0,0.0
2020-09,0.769729,0.627379,0.369622,-0.021541,-0.100986,0.000121,0.0,0.0
2020-10,0.73368,0.589881,0.351504,-0.018118,-0.100878,0.000108,0.0,0.0
2020-11,0.700276,0.555984,0.336266,-0.015239,-0.100783,9.5e-05,0.0,0.0
2020-12,0.669679,0.525464,0.32345,-0.012815,-0.100697,8.6e-05,0.0,0.0
2021-01,0.641898,0.498072,0.312673,-0.010777,-0.100621,7.6e-05,0.0,0.0
2021-02,0.616845,0.473552,0.303609,-0.009065,-0.100553,6.8e-05,0.0,0.0
2021-03,0.864791,0.471667,0.295986,-0.007622,0.533334,0.633887,0.0,0.0
2021-04,0.831782,0.44507,0.289576,-0.00641,0.483874,-0.04946,0.0,0.0
2021-05,0.556436,0.414709,0.284185,-0.005391,-0.100391,-0.584265,0.0,0.0
2021-06,0.540574,0.401054,0.276923,-0.007262,-0.100349,4.2e-05,0.0,0.0
2021-07,0.526522,0.389045,0.270593,-0.00633,-0.100311,3.8e-05,0.0,0.0
2021-08,0.514093,0.378349,0.26527,-0.005323,-0.100277,3.4e-05,0.0,0.0
2021-09,0.503115,0.368821,0.260794,-0.004476,-0.100247,3e-05,0.0,0.0
2021-10,0.493427,0.360335,0.25703,-0.003764,-0.10022,2.7e-05,0.0,0.0
2021-11,0.484885,0.352778,0.253865,-0.003165,-0.100196,2.4e-05,0.0,0.0
2021-12,0.477356,0.346047,0.251203,-0.002662,-0.100174,2.2e-05,0.0,0.0
2022-01,0.470724,0.340052,0.248965,-0.002239,-0.100155,1.9e-05,0.0,0.0
2022-02,0.464881,0.334713,0.247084,-0.001881,-0.100138,1.7e-05,0.0,0.0
2022-03,0.939971,0.538416,0.245501,-0.001583,0.508804,0.608942,0.0,0.0
2022-04,0.996568,0.652471,0.468544,0.223044,0.630642,0.121838,0.0,0.0
2022-05,0.99144,0.634568,0.468544,-0.0,0.623718,-0.006925,0.0,0.0
2022-06,0.977606,0.592537,0.429273,-0.039271,0.60411,-0.019608,0.0,0.0
2022-07,0.957998,0.555306,0.396249,-0.033024,0.576812,-0.027297,0.0,0.0
2022-08,0.935231,0.524797,0.371498,-0.02475,0.545336,-0.031477,0.0,0.0
2022-09,0.911365,0.500279,0.353473,-0.018026,0.512098,-0.033238,0.0,0.0
2022-10,0.886142,0.478364,0.337415,-0.016058,0.47874,-0.033358,0.0,0.0
2022-11,0.860421,0.458837,0.323108,-0.014307,0.446335,-0.032405,0.0,0.0
2022-12,0.834885,0.441479,0.310361,-0.012746,0.415551,-0.030783,0.0,0.0
2023-01,0.810052,0.426081,0.299006,-0.011355,0.386781,-0.02877,0.0,0.0
2023-02,0.786291,0.412442,0.288891,-0.010115,0.36021,-0.026571,0.0,0.0
2023-03,0.763851,0.400378,0.279877,-0.009014,0.335899,-0.024312,0.0,0.0
2023-04,0.742878,0.389716,0.271847,-0.008029,0.313808,-0.022091,0.0,0.0
2023-05,0.723446,0.380301,0.264694,-0.007153,0.293847,-0.019961,0.0,0.0
2023-06,0.705567,0.657338,0.258321,-0.006373,0.275889,-0.017958,-0.396011,-0.396011
2023-07,0.643792,0.271806,0.252644,-0.005677,0.259792,-0.016098,0.0,0.396011
2023-08,0.627081,0.265086,0.247585,-0.005059,0.2454,-0.014391,0.0,0.0
2023-09,0.611953,0.259176,0.243079,-0.004506,0.232563,-0.012837,0.0,0.0
2023-10,0.598302,0.253978,0.239064,-0.004015,0.221132,-0.011432,0.0,0.0
2023-11,0.588387,0.250975,0.237397,-0.001668,0.210968,-0.010164,0.0,0.0
2023-12,0.58169,0.249976,0.237355,-4.2e-05,0.201939,-0.009029,0.0,0.0
2024-01,0.896302,0.249136,0.237321,-3.4e-05,0.681347,0.479408,0.0,0.0
2024-02,0.904699,0.248429,0.237291,-2.9e-05,0.69491,0.013563,0.0,0.0
2024-03,0.858105,0.247835,0.237267,-2.5e-05,0.62473,-0.070181,0.0,0.0
2024-04,0.941783,0.485928,0.237245,-2.1e-05,0.48592,-0.138809,0.0,0.0
2024-05,0.974931,0.61149,0.468543,0.231297,0.461323,-0.024597,0.0,0.0
2024-06,0.946971,0.646513,0.297511,-0.171031,0.434112,-0.02721,0.0,0.0
2024-07,0.913635,0.592854,0.282672,-0.014839,0.406071,-0.028041,0.0,0.0
2024-08,0.860977,0.507264,0.270194,-0.012478,0.392428,-0.013643,0.0,0.0
2024-09,0.819544,0.4649,0.259702,-0.010491,0.356538,-0.035891,0.0,0.0
2024-10,0.854231,0.566797,0.235062,-0.02464,0.324592,-0.031946,0.0,0.0
2024-11,0.81735,0.527128,0.228101,-0.006961,0.296616,-0.027976,0.0,0.0
2024-12,0.78177,0.49131,0.2219,-0.006202,0.272403,-0.024213,0.0,0.0
2025-01,0.714453,0.459097,0.216374,-0.005526,0.174658,-0.097745,0.0,0.0
2025-02,0.682182,0.430217,0.211452,-0.004922,0.160244,-0.014414,0.0,0.0
