origin_date,target_month,stage,event_feature_1,value_1,beta_1,event_feature_2,value_2,beta_2,direct_event_contribution,prediction_M1,prediction,prediction_events_off,delta_vs_M1,delta_vs_events_off,train_value_min,train_value_max,train_value_std,n_train_rows
2021-11-30,2021-12,M2_V2,PEP,0.222222,2.243514,NEP,0.166667,1.54243,0.75563,717.700461,717.553273,716.797643,-0.147188,0.75563,0.0,0.222222,0.07575,72
2021-11-30,2021-12,M2_V3,PEP_V3,0.477356,-4.073918,NEP_V3,0.346047,1.405644,-1.45829,717.700461,717.201844,718.660135,-0.498617,-1.45829,0.210485,1.0,0.215615,72
2021-12-31,2022-01,M2_V2,PEP,0.222222,2.253289,NEP,0.166667,1.574809,0.763199,789.077134,788.88149,788.118291,-0.195644,0.763199,0.0,0.222222,0.076338,73
2021-12-31,2022-01,M2_V3,PEP_V3,0.470724,-4.006211,NEP_V3,0.340052,1.757857,-1.288057,789.077134,788.313492,789.601549,-0.763641,-1.288057,0.210485,1.0,0.214631,73
2022-01-31,2022-02,M2_V2,PEP,0.222222,2.328029,NEP,0.166667,1.641429,0.790911,757.414232,757.251984,756.461073,-0.162248,0.790911,0.0,0.222222,0.076876,74
2022-01-31,2022-02,M2_V3,PEP_V3,0.464881,-3.991361,NEP_V3,0.334713,1.8031,-1.251987,757.414232,757.312306,758.564293,-0.101927,-1.251987,0.210485,1.0,0.213716,74
2022-02-28,2022-03,M2_V2,PEP,0.388889,2.674391,NEP,0.222222,1.993775,1.483102,636.677663,637.136723,635.653621,0.45906,1.483102,0.0,0.222222,0.077369,75
2022-02-28,2022-03,M2_V3,PEP_V3,0.939971,-4.993681,NEP_V3,0.538416,1.748049,-3.752737,636.677663,634.756967,638.509704,-1.920696,-3.752737,0.210485,1.0,0.212864,75
2022-03-31,2022-04,M2_V2,PEP,0.5,2.862854,NEP,0.222222,2.155228,1.910366,521.49815,522.574523,520.664156,1.076373,1.910366,0.0,0.222222,0.077819,76
2022-03-31,2022-04,M2_V3,PEP_V3,0.996568,-4.706105,NEP_V3,0.652471,1.910621,-3.443329,521.49815,519.705581,523.14891,-1.792569,-3.443329,0.210485,1.0,0.212066,76
2022-04-30,2022-05,M2_V2,PEP,0.5,1.457678,NEP,0.222222,1.041366,0.960253,655.789698,656.251383,655.29113,0.461685,0.960253,0.0,0.388889,0.083286,77
2022-04-30,2022-05,M2_V3,PEP_V3,0.99144,0.367091,NEP_V3,0.634568,0.84474,0.899994,655.789698,656.106341,655.206348,0.316644,0.899994,0.210485,1.0,0.214098,77
2022-05-31,2022-06,M2_V2,PEP,0.5,2.05785,NEP,0.222222,1.23922,1.304307,729.104334,729.545171,728.240864,0.440836,1.304307,0.0,0.5,0.093236,78
2022-05-31,2022-06,M2_V3,PEP_V3,0.977606,1.212112,NEP_V3,0.592537,1.458765,2.04934,729.104334,729.657345,727.608005,0.55301,2.04934,0.210485,1.0,0.217176,78
