origin_date,target_month,stage,prediction_M1,prediction,prediction_events_off,total_delta_vs_M1,direct_event_effect,indirect_refit_effect,alpha_M1,alpha_stage,alpha_changed,abs_error_M1,abs_error_stage
2021-11-30,2021-12,M2_V2,717.700461,717.553273,716.797643,-0.147188,0.75563,-0.902818,10.0,10.0,False,21.363539,21.510727
2021-12-31,2022-01,M2_V2,789.077134,788.88149,788.118291,-0.195644,0.763199,-0.958843,10.0,10.0,False,99.714134,99.51849
2022-01-31,2022-02,M2_V2,757.414232,757.251984,756.461073,-0.162248,0.790911,-0.953159,10.0,10.0,False,70.064232,69.901984
2022-02-28,2022-03,M2_V2,636.677663,637.136723,635.653621,0.45906,1.483102,-1.024042,10.0,10.0,False,221.964337,221.505277
2022-03-31,2022-04,M2_V2,521.49815,522.574523,520.664156,1.076373,1.910366,-0.833993,10.0,10.0,False,337.74385,336.667477
2022-04-30,2022-05,M2_V2,655.789698,656.251383,655.29113,0.461685,0.960253,-0.498568,100.0,100.0,False,100.787302,100.325617
2022-05-31,2022-06,M2_V2,729.104334,729.545171,728.240864,0.440836,1.304307,-0.863471,100.0,100.0,False,49.362334,49.803171
2022-06-30,2022-07,M2_V2,785.845541,786.634386,781.720475,0.788845,4.913911,-4.125066,10.0,10.0,False,191.981541,192.770386
2022-07-31,2022-08,M2_V2,692.268567,692.613443,691.248645,0.344876,1.364798,-1.019922,100.0,100.0,False,145.885567,146.230443
2022-08-31,2022-09,M2_V2,542.404978,543.080334,538.658216,0.675355,4.422118,-3.746763,10.0,10.0,False,14.685978,15.361334
2022-09-30,2022-10,M2_V2,431.063284,431.763937,406.181594,0.700653,25.582342,-24.881689,1.0,1.0,False,78.942716,78.242063
2022-10-31,2022-11,M2_V2,431.632393,431.706389,427.449954,0.073996,4.256435,-4.182439,10.0,10.0,False,61.447607,61.373611
2022-11-30,2022-12,M2_V2,456.511374,457.181152,452.986845,0.669777,4.194307,-3.52453,10.0,10.0,False,61.148626,60.478848
2022-12-31,2023-01,M2_V2,497.003088,497.483637,496.243196,0.480549,1.240441,-0.759892,100.0,100.0,False,73.516912,73.036363
2023-01-31,2023-02,M2_V2,522.518167,523.001213,521.738551,0.483046,1.262662,-0.779616,100.0,100.0,False,83.647833,83.164787
2023-02-28,2023-03,M2_V2,543.51403,543.878251,542.538403,0.364221,1.339848,-0.975627,100.0,100.0,False,120.88597,120.521749
2023-03-31,2023-04,M2_V2,580.038375,580.314684,578.888783,0.276309,1.425901,-1.149592,100.0,100.0,False,71.079625,70.803316
2023-04-30,2023-05,M2_V2,615.126179,615.386939,613.90996,0.26076,1.476979,-1.216219,100.0,100.0,False,2.590821,2.330061
2023-05-31,2023-06,M2_V2,613.579746,613.872865,612.347053,0.293119,1.525812,-1.232693,100.0,100.0,False,56.138746,56.431865
2023-06-30,2023-07,M2_V2,605.15551,604.835981,600.262518,-0.319529,4.573464,-4.892993,10.0,10.0,False,65.60051,65.280981
2023-07-31,2023-08,M2_V2,553.08522,553.18212,551.960702,0.096901,1.221418,-1.124517,100.0,100.0,False,9.18922,9.28612
2023-08-31,2023-09,M2_V2,519.792922,519.722865,518.674421,-0.070058,1.048444,-1.118502,100.0,100.0,False,27.708078,27.778135
2023-09-30,2023-10,M2_V2,541.82792,541.788571,540.732055,-0.039349,1.056516,-1.095865,100.0,100.0,False,7.06592,7.026571
2023-10-31,2023-11,M2_V2,548.589293,548.59878,547.535773,0.009487,1.063007,-1.05352,100.0,100.0,False,6.383707,6.37422
2023-11-30,2023-12,M2_V2,546.690574,546.761812,545.700656,0.071238,1.061155,-0.989917,100.0,100.0,False,62.094426,62.023188
2023-12-31,2024-01,M2_V2,578.635541,578.986388,577.668889,0.350847,1.317499,-0.966652,100.0,100.0,False,41.525459,41.174612
2024-01-31,2024-02,M2_V2,605.624509,605.90088,604.572065,0.276372,1.328815,-1.052443,100.0,100.0,False,1.771509,2.04788
2024-02-29,2024-03,M2_V2,603.985374,604.152839,602.799066,0.167465,1.353773,-1.186308,100.0,100.0,False,47.751374,47.918839
2024-03-31,2024-04,M2_V2,586.790836,586.998915,585.666519,0.20808,1.332397,-1.124317,100.0,100.0,False,43.023836,43.231915
2024-04-30,2024-05,M2_V2,547.48088,547.836039,546.382023,0.355158,1.454015,-1.098857,100.0,100.0,False,6.00488,6.360039
2024-05-31,2024-06,M2_V2,551.666168,552.012244,550.584841,0.346075,1.427402,-1.081327,100.0,100.0,False,30.460168,30.806244
2024-06-30,2024-07,M2_V2,535.167209,535.552675,534.135552,0.385466,1.417123,-1.031657,100.0,100.0,False,12.668209,13.053675
2024-07-31,2024-08,M2_V2,520.691317,521.089157,519.707348,0.39784,1.381809,-0.983969,100.0,100.0,False,0.017683,0.380157
2024-08-31,2024-09,M2_V2,534.012594,534.335285,532.954769,0.32269,1.380516,-1.057826,100.0,100.0,False,17.623594,17.946285
2024-09-30,2024-10,M2_V2,525.730942,526.121014,524.729149,0.390072,1.391864,-1.001792,100.0,100.0,False,0.628058,0.237986
2024-10-31,2024-11,M2_V2,537.161219,537.503769,536.144795,0.34255,1.358974,-1.016424,100.0,100.0,False,9.249219,9.591769
2024-11-30,2024-12,M2_V2,554.088339,554.431571,553.062261,0.343232,1.36931,-1.026078,100.0,100.0,False,39.339339,39.682571
2024-12-31,2025-01,M2_V2,547.774968,548.161448,546.803075,0.38648,1.358373,-0.971893,100.0,100.0,False,16.908968,17.295448
2025-01-31,2025-02,M2_V2,534.808024,535.207402,533.892308,0.399379,1.315095,-0.915716,100.0,100.0,False,39.558976,39.159598
2025-02-28,2025-03,M2_V2,541.888476,542.215997,540.910237,0.327521,1.30576,-0.978239,100.0,100.0,False,65.969524,65.642003
2025-03-31,2025-04,M2_V2,562.065256,562.373616,561.010194,0.308361,1.363422,-1.055061,100.0,100.0,False,5.193744,4.885384
2025-04-30,2025-05,M2_V2,569.326072,569.695432,568.314516,0.36936,1.380916,-1.011556,100.0,100.0,False,31.083072,31.452432
2025-05-31,2025-06,M2_V2,536.28158,536.507418,535.962156,0.225838,0.545261,-0.319423,1000.0,1000.0,False,5.33358,5.559418
2025-06-30,2025-07,M2_V2,528.555408,528.781595,528.241563,0.226188,0.540032,-0.313844,1000.0,1000.0,False,1.618592,1.392405
2025-07-31,2025-08,M2_V2,523.969168,524.186929,523.65059,0.217761,0.536339,-0.318578,1000.0,1000.0,False,6.995832,6.778071
2025-08-31,2025-09,M2_V2,526.899409,527.111475,526.570199,0.212065,0.541276,-0.329211,1000.0,1000.0,False,0.341591,0.129525
2025-09-30,2025-10,M2_V2,533.996361,534.220198,532.929943,0.223838,1.290255,-1.066417,100.0,100.0,False,16.752361,16.976198
2025-10-31,2025-11,M2_V2,527.688137,527.88684,527.359529,0.198703,0.527311,-0.328608,1000.0,1000.0,False,7.768137,7.96684
2025-11-30,2025-12,M2_V2,528.054597,528.26086,527.736326,0.206263,0.524535,-0.318272,1000.0,1000.0,False,4.234403,4.02814
2025-12-31,2026-01,M2_V2,529.022216,529.221869,528.713145,0.199653,0.508724,-0.309071,1000.0,1000.0,False,44.626784,44.427131
2021-11-30,2021-12,M2_V3,717.700461,717.201844,718.660135,-0.498617,-1.45829,0.959673,10.0,10.0,False,21.363539,21.862156
2021-12-31,2022-01,M2_V3,789.077134,788.313492,789.601549,-0.763641,-1.288057,0.524416,10.0,10.0,False,99.714134,98.950492
2022-01-31,2022-02,M2_V3,757.414232,757.312306,758.564293,-0.101927,-1.251987,1.15006,10.0,10.0,False,70.064232,69.962306
2022-02-28,2022-03,M2_V3,636.677663,634.756967,638.509704,-1.920696,-3.752737,1.832041,10.0,10.0,False,221.964337,223.885033
2022-03-31,2022-04,M2_V3,521.49815,519.705581,523.14891,-1.792569,-3.443329,1.65076,10.0,10.0,False,337.74385,339.536419
2022-04-30,2022-05,M2_V3,655.789698,656.106341,655.206348,0.316644,0.899994,-0.58335,100.0,100.0,False,100.787302,100.470659
2022-05-31,2022-06,M2_V3,729.104334,729.657345,727.608005,0.55301,2.04934,-1.49633,100.0,100.0,False,49.362334,49.915345
2022-06-30,2022-07,M2_V3,785.845541,787.54596,778.330595,1.700419,9.215365,-7.514946,10.0,10.0,False,191.981541,193.68196
2022-07-31,2022-08,M2_V3,692.268567,692.772372,690.850716,0.503806,1.921656,-1.41785,100.0,100.0,False,145.885567,146.389372
2022-08-31,2022-09,M2_V3,542.404978,544.711672,537.811209,2.306694,6.900463,-4.593769,10.0,10.0,False,14.685978,16.992672
2022-09-30,2022-10,M2_V3,431.063284,432.913024,423.899872,1.84974,9.013152,-7.163412,1.0,1.0,False,78.942716,77.092976
2022-10-31,2022-11,M2_V3,431.632393,431.329123,426.280814,-0.30327,5.048309,-5.351579,10.0,10.0,False,61.447607,61.750877
2022-11-30,2022-12,M2_V3,456.511374,456.622881,452.184114,0.111507,4.438767,-4.32726,10.0,10.0,False,61.148626,61.037119
2022-12-31,2023-01,M2_V3,497.003088,497.041789,495.941127,0.038701,1.100662,-1.061961,100.0,100.0,False,73.516912,73.478211
2023-01-31,2023-02,M2_V3,522.518167,522.523464,521.458503,0.005297,1.064961,-1.059664,100.0,100.0,False,83.647833,83.642536
2023-02-28,2023-03,M2_V3,543.51403,543.372527,542.329722,-0.141504,1.042805,-1.184309,100.0,100.0,False,120.88597,121.027473
2023-03-31,2023-04,M2_V3,580.038375,579.839429,578.822199,-0.198946,1.01723,-1.216176,100.0,100.0,False,71.079625,71.278571
2023-04-30,2023-05,M2_V3,615.126179,614.934056,613.976045,-0.192123,0.958011,-1.150134,100.0,100.0,False,2.590821,2.782944
2023-05-31,2023-06,M2_V3,613.579746,613.704908,612.537945,0.125162,1.166963,-1.041801,100.0,100.0,False,56.138746,56.263908
2023-06-30,2023-07,M2_V3,605.15551,603.974312,599.949279,-1.181198,4.025033,-5.206231,10.0,10.0,False,65.60051,64.419312
2023-07-31,2023-08,M2_V3,553.08522,552.87642,552.146012,-0.2088,0.730408,-0.939208,100.0,100.0,False,9.18922,8.98042
2023-08-31,2023-09,M2_V3,519.792922,483.712236,479.681268,-36.080687,4.030967,-40.111654,100.0,10.0,True,27.708078,63.788764
2023-09-30,2023-10,M2_V3,541.82792,541.551407,540.801862,-0.276512,0.749545,-1.026057,100.0,100.0,False,7.06592,6.789407
2023-10-31,2023-11,M2_V3,548.589293,548.350617,547.61476,-0.238676,0.735856,-0.974532,100.0,100.0,False,6.383707,6.622383
2023-11-30,2023-12,M2_V3,546.690574,546.470103,545.738635,-0.220471,0.731468,-0.951939,100.0,100.0,False,62.094426,62.314897
2023-12-31,2024-01,M2_V3,578.635541,578.731906,577.761489,0.096364,0.970417,-0.874053,100.0,100.0,False,41.525459,41.429094
2024-01-31,2024-02,M2_V3,605.624509,605.681339,604.782894,0.05683,0.898445,-0.841615,100.0,100.0,False,1.771509,1.828339
2024-02-29,2024-03,M2_V3,603.985374,604.003702,603.081995,0.018328,0.921707,-0.903379,100.0,100.0,False,47.751374,47.769702
2024-03-31,2024-04,M2_V3,586.790836,587.034529,585.901093,0.243693,1.133436,-0.889743,100.0,100.0,False,43.023836,43.267529
2024-04-30,2024-05,M2_V3,547.48088,547.861195,546.559582,0.380314,1.301612,-0.921298,100.0,100.0,False,6.00488,6.385195
2024-05-31,2024-06,M2_V3,551.666168,552.034693,550.838614,0.368525,1.196079,-0.827554,100.0,100.0,False,30.460168,30.828693
2024-06-30,2024-07,M2_V3,535.167209,535.450015,534.356215,0.282805,1.093799,-0.810994,100.0,100.0,False,12.668209,12.951015
2024-07-31,2024-08,M2_V3,520.691317,520.859192,519.984904,0.167875,0.874288,-0.706413,100.0,100.0,False,0.017683,0.150192
2024-08-31,2024-09,M2_V3,534.012594,534.102879,533.279158,0.090285,0.823721,-0.733436,100.0,100.0,False,17.623594,17.713879
2024-09-30,2024-10,M2_V3,525.730942,525.940719,525.008583,0.209777,0.932137,-0.72236,100.0,100.0,False,0.628058,0.418281
2024-10-31,2024-11,M2_V3,537.161219,537.317253,536.49159,0.156034,0.825663,-0.669629,100.0,100.0,False,9.249219,9.405253
2024-11-30,2024-12,M2_V3,554.088339,554.186737,553.381381,0.098398,0.805357,-0.706959,100.0,100.0,False,39.339339,39.437737
2024-12-31,2025-01,M2_V3,547.774968,547.814423,547.08495,0.039455,0.729472,-0.690017,100.0,100.0,False,16.908968,16.948423
2025-01-31,2025-02,M2_V3,534.808024,534.821137,534.173334,0.013114,0.647804,-0.63469,100.0,100.0,False,39.558976,39.545863
2025-02-28,2025-03,M2_V3,541.888476,542.122788,541.237133,0.234312,0.885655,-0.651343,100.0,100.0,False,65.969524,65.735212
2025-03-31,2025-04,M2_V3,562.065256,562.176643,561.383534,0.111387,0.793109,-0.681722,100.0,100.0,False,5.193744,5.082357
2025-04-30,2025-05,M2_V3,569.326072,569.531399,568.490352,0.205327,1.041047,-0.83572,100.0,100.0,False,31.083072,31.288399
2025-05-31,2025-06,M2_V3,536.28158,536.405318,535.97375,0.123738,0.431568,-0.30783,1000.0,1000.0,False,5.33358,5.457318
2025-06-30,2025-07,M2_V3,528.555408,528.670996,528.25549,0.115589,0.415506,-0.299917,1000.0,1000.0,False,1.618592,1.503004
2025-07-31,2025-08,M2_V3,523.969168,524.060896,523.673282,0.091728,0.387613,-0.295885,1000.0,1000.0,False,6.995832,6.904104
2025-08-31,2025-09,M2_V3,526.899409,526.96828,526.591184,0.068871,0.377096,-0.308225,1000.0,1000.0,False,0.341591,0.27272
