month,info_month,category,category_label,up,down,active_episode_count,episode_ids
2013-01,2012-12,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-01,2012-12,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-01,2012-12,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-01,2012-12,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-01,2012-12,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-01,2012-12,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-01,2012-12,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-02,2013-01,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-02,2013-01,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-02,2013-01,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-02,2013-01,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-02,2013-01,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-02,2013-01,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-02,2013-01,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-03,2013-02,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-03,2013-02,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-03,2013-02,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-03,2013-02,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-03,2013-02,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-03,2013-02,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-03,2013-02,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-04,2013-03,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-04,2013-03,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-04,2013-03,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-04,2013-03,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-04,2013-03,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-04,2013-03,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-04,2013-03,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-05,2013-04,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-05,2013-04,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-05,2013-04,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-05,2013-04,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-05,2013-04,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-05,2013-04,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-05,2013-04,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-06,2013-05,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-06,2013-05,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-06,2013-05,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-06,2013-05,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-06,2013-05,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-06,2013-05,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-06,2013-05,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-07,2013-06,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-07,2013-06,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-07,2013-06,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-07,2013-06,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-07,2013-06,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-07,2013-06,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-07,2013-06,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-08,2013-07,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-08,2013-07,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-08,2013-07,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-08,2013-07,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-08,2013-07,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-08,2013-07,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-08,2013-07,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-09,2013-08,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-09,2013-08,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-09,2013-08,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-09,2013-08,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-09,2013-08,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-09,2013-08,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-09,2013-08,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-10,2013-09,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-10,2013-09,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-10,2013-09,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-10,2013-09,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-10,2013-09,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-10,2013-09,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-10,2013-09,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-11,2013-10,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-11,2013-10,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-11,2013-10,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-11,2013-10,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-11,2013-10,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-11,2013-10,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-11,2013-10,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2013-12,2013-11,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
2013-12,2013-11,TRADE_TARIFF_SANCTION,무역/관세/제재,0.0,0.0,0,
2013-12,2013-11,TRADE_REMEDY_ADCVD,무역구제(반덤핑·상계관세),0.0,0.0,0,
2013-12,2013-11,ENERGY_SUPPLY,에너지 공급,0.0,0.0,0,
2013-12,2013-11,SHIPPING_LOGISTICS,해상운송/물류,0.0,0.0,0,
2013-12,2013-11,PANDEMIC_EMERGENCY,팬데믹/비상사태,0.0,0.0,0,
2013-12,2013-11,INDUSTRIAL_SUPPLY_DEMAND,산업 수급,0.0,0.0,0,
2014-01,2013-12,GEOPOLITICAL_CONFLICT,지정학 분쟁,0.0,0.0,0,
