transition_id,episode_id,episode_name,category,stage,known_at_date,directness,scope,certainty,base_strength,direction_up,direction_down,half_life_months,floor_ratio,max_active_months,official_source_name,official_source_url,short_summary
T_CORE_01,EP_CORE_ADCVD,부식방지강판(CORE) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,SIGNALLED,2015-06-09,3,2,0.2,0.622222,1.0,0.1,2.0,0.0,6,U.S. Federal Register (International Trade Commission),https://www.federalregister.gov/documents/2015/06/09/2015-14028/certain-corrosion-resistant-steel-products-from-china-india-italy-korea-and-taiwan-institution-of,ITC가 5개국산 부식방지강판에 대한 반덤핑·상계관세 조사를 개시했다.
T_CORE_02,EP_CORE_ADCVD,부식방지강판(CORE) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,PROPOSED,2015-06-30,3,2,0.35,0.672222,1.0,0.1,3.0,0.0,9,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2015/06/30/2015-16061/certain-corrosion-resistant-steel-products-from-italy-india-the-peoples-republic-of-china-the,상무부가 5개국산 부식방지강판의 덤핑 조사를 정식 개시했다.
T_CRS_01,EP_CRS_ADCVD,냉연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,SIGNALLED,2015-08-03,3,2,0.2,0.622222,1.0,0.1,2.0,0.0,6,U.S. Federal Register (International Trade Commission),https://www.federalregister.gov/documents/2015/08/03/2015-18951/cold-rolled-steel-flat-products-from-brazil-china-india-japan-korea-netherlands-russia-and-the,ITC가 8개국산 냉연강판 반덤핑·상계관세 조사를 개시했다.
T_CRS_02,EP_CRS_ADCVD,냉연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,PROPOSED,2015-08-24,3,2,0.35,0.672222,1.0,0.1,3.0,0.0,9,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2015/08/24/2015-20879/certain-cold-rolled-steel-flat-products-from-brazil-india-the-peoples-republic-of-china-the-republic,상무부가 냉연강판 상계관세 조사를 정식 개시했다.
T_CRS_03,EP_CRS_ADCVD,냉연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,PROPOSED,2015-08-24,3,2,0.35,0.672222,1.0,0.1,3.0,0.0,9,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2015/08/24/2015-20881/certain-cold-rolled-steel-flat-products-from-brazil-the-peoples-republic-of-china-india-japan-the,상무부가 8개국산 냉연강판 덤핑 조사를 정식 개시했다.
T_HRS_01,EP_HRS_ADCVD,열연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,PROPOSED,2015-09-09,3,2,0.35,0.672222,1.0,0.1,3.0,0.0,9,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2015/09/09/2015-22556/certain-hot-rolled-steel-flat-products-from-brazil-the-republic-of-korea-and-turkey-initiation-of,상무부가 열연강판 상계관세 조사를 정식 개시했다.
T_HRS_02,EP_HRS_ADCVD,열연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,PROPOSED,2015-09-09,3,2,0.35,0.672222,1.0,0.1,3.0,0.0,9,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2015/09/09/2015-22557/certain-hot-rolled-steel-flat-products-from-australia-brazil-japan-the-republic-of-korea-the,상무부가 7개국산 열연강판 덤핑 조사를 정식 개시했다.
T_CORE_03,EP_CORE_ADCVD,부식방지강판(CORE) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,ANNOUNCED,2015-11-06,3,2,0.6,0.755556,1.0,0.1,3.0,0.1,12,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2015/11/06/2015-28447/countervailing-duty-investigation-of-certain-corrosion-resistant-steel-products-from-india,상계관세 예비 긍정판정으로 잠정 현금예치 요건이 부과됐다.
T_JCPOA_01,EP_JCPOA_RELIEF,JCPOA 이행일 이란 제재 해제,ENERGY_SUPPLY,IMPLEMENTED,2016-01-25,1,2,1.0,0.666667,0.0,1.0,6.0,0.15,,U.S. Federal Register (Dept. of State / Treasury),https://www.federalregister.gov/documents/2016/01/25/2016-01404/sanctions-lifting-actions-taken-pursuant-to-the-joint-comprehensive-plan-of-action,JCPOA 이행일에 따른 이란 핵 관련 제재 해제 조치가 공식 게재됐다.
T_CRS_04,EP_CRS_ADCVD,냉연강판 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,IMPLEMENTED,2016-07-14,3,2,1.0,0.888889,1.0,0.1,6.0,0.15,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/07/14/2016-16798/certain-cold-rolled-steel-flat-products-from-japan-and-the-peoples-republic-of-china-antidumping,일본·중국산 냉연강판 반덤핑 관세 명령이 발효됐다.
T_CORE_04,EP_CORE_ADCVD,부식방지강판(CORE) 반덤핑·상계관세 사안,TRADE_REMEDY_ADCVD,IMPLEMENTED,2016-07-25,3,2,1.0,0.888889,1.0,0.1,6.0,0.15,,U.S. Federal Register (Dept. of Commerce),https://www.federalregister.gov/documents/2016/07/25/2016-17557/certain-corrosion-resistant-steel-products-from-india-italy-the-peoples-republic-of-china-the,부식방지강판 반덤핑 관세 명령이 발효됐다.
